system:index,fa,ia,.geo
0_49,1.998183012008667,1.2451499700546265,"{""type"":""Point"",""coordinates"":[-101.59089136246003,18.028154198010448]}"
0_85,2.995793104171753,0.7684061527252197,"{""type"":""Point"",""coordinates"":[-80.01728754673853,-2.0912472110645077]}"
0_111,2.1299633979797363,1.1268471479415894,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_335,1.0632998943328857,1.127224326133728,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_392,0.25364822149276733,0.6957957148551941,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.2513907551765442,0.8713750243186951,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_451,1.0618844032287598,1.3750487565994263,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_501,2.241243839263916,1.5319263935089111,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_545,2.7859301567077637,1.3115850687026978,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7686720490455627,0.7430298924446106,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.23408059775829315,1.5963332653045654,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_688,1.3346835374832153,1.0872056484222412,"{""type"":""Point"",""coordinates"":[-108.21367147709796,26.94656810832792]}"
0_726,1.2296061515808105,1.7049882411956787,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.5459839105606079,1.2109827995300293,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,2.3865740299224854,1.7485491037368774,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_841,1.357202172279358,1.2128090858459473,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_940,1.3227288722991943,2.2718112468719482,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,0.29175135493278503,1.3183163404464722,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,0.1771996021270752,1.1091091632843018,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1056,0.8119392991065979,0.7058756351470947,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1074,2.2505202293395996,0.7134718894958496,"{""type"":""Point"",""coordinates"":[-107.18566595180987,24.29968437662394]}"
0_1145,2.6808829307556152,0.7413380146026611,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,0.20540298521518707,0.653317928314209,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1192,0.16484026610851288,0.7235741019248962,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1215,2.1820764541625977,0.9919503927230835,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.33634841442108154,1.385391116142273,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,0.9196659326553345,1.3107911348342896,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,0.3653114140033722,1.1782581806182861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1277,2.9983017444610596,0.7264288067817688,"{""type"":""Point"",""coordinates"":[-87.76112814700686,13.450654611210716]}"
0_1343,1.46396803855896,1.1979637145996094,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7726987600326538,0.7464928030967712,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1402,1.985886573791504,0.9702207446098328,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1421,0.6523106694221497,1.415452480316162,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1459,1.3833993673324585,1.443839430809021,"{""type"":""Point"",""coordinates"":[-98.99941469157021,24.1404016800538]}"
