system:index,fa,vr,.geo
0_111,2.1299633979797363,0.5688022375106812,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_170,1.25882887840271,0.23421217501163483,"{""type"":""Point"",""coordinates"":[-97.41894898721165,17.308420406817415]}"
0_299,0.6172738075256348,0.16875791549682617,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,1.0632998943328857,0.16252931952476501,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_392,0.25364822149276733,0.13956937193870544,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.2513907551765442,0.13352525234222412,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_545,2.7859301567077637,0.13797232508659363,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_587,0.23408059775829315,0.22382749617099762,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,1.3812246322631836,1.4104480743408203,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_639,0.1695760190486908,0.387647807598114,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_726,1.2296061515808105,0.36182501912117004,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.5459839105606079,0.5376245975494385,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,2.3865740299224854,0.12571796774864197,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_841,1.357202172279358,0.9422848224639893,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_957,0.29175135493278503,0.10538855940103531,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,0.1771996021270752,0.09230281412601471,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1193,0.45229190587997437,0.09717540442943573,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1215,2.1820764541625977,0.1295878142118454,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.33634841442108154,0.09824730455875397,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.3653114140033722,0.10889556258916855,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1343,1.46396803855896,1.122522234916687,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7726987600326538,0.13687433302402496,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1402,1.985886573791504,0.3294266164302826,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1421,0.6523106694221497,0.0950043648481369,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1470,1.9160605669021606,0.2287612408399582,"{""type"":""Point"",""coordinates"":[-91.96159682104457,15.925319549792444]}"
0_1474,1.197238564491272,0.10341007262468338,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1522,0.43827930092811584,0.24828018248081207,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1601,0.22731339931488037,0.12192709743976593,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
0_1637,1.8584980964660645,0.5045994520187378,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1721,2.426896572113037,0.243180513381958,"{""type"":""Point"",""coordinates"":[-97.0555386140583,20.13289068781206]}"
0_1735,2.210358142852783,0.765211284160614,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,1.2851166725158691,0.09586701542139053,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.44627344608306885,0.11676724255084991,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1797,1.4736573696136475,0.684099555015564,"{""type"":""Point"",""coordinates"":[-99.30138012765362,22.527365462761132]}"
0_1799,0.5991767644882202,0.1686345636844635,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,1.8371082544326782,0.08865490555763245,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_2031,0.6555896997451782,0.11415484547615051,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.4741859436035156,0.11524008959531784,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,1.354796290397644,0.11773578077554703,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,1.4384571313858032,0.13593754172325134,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2247,0.1752932220697403,0.15084365010261536,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2307,0.24605730175971985,0.15702345967292786,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2311,1.0782002210617065,0.33227089047431946,"{""type"":""Point"",""coordinates"":[-99.9696750528077,24.185304625799095]}"
0_2333,2.1494643688201904,0.28433865308761597,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
0_2376,0.3829936385154724,0.5436973571777344,"{""type"":""Point"",""coordinates"":[-60.08567844312024,-3.9907317384630363]}"
