system:index,va,vr,.geo
0_72,0.3824189007282257,0.09164877235889435,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.5669841170310974,0.5688022375106812,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.489380806684494,0.11325085908174515,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,0.9534172415733337,0.07619042694568634,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,0.3920813798904419,0.16568289697170258,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_192,1.5035650730133057,0.10700424760580063,"{""type"":""Point"",""coordinates"":[-41.04073942867741,-12.090689962400026]}"
0_253,0.3965614438056946,0.11945042759180069,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,0.6625273823738098,0.5272549986839294,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_299,0.822478175163269,0.16875791549682617,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,0.4837406277656555,0.16252931952476501,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_385,1.1918396949768066,0.22943992912769318,"{""type"":""Point"",""coordinates"":[-36.05832644874819,-6.162448926403277]}"
0_386,0.8347429037094116,0.14173491299152374,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.4721083641052246,0.13956937193870544,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.5495365262031555,0.13352525234222412,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_456,0.4788872003555298,0.1664961725473404,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_531,1.2969284057617188,0.098413847386837,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,1.3985756635665894,0.13797232508659363,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_587,0.5831418633460999,0.22382749617099762,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.45124390721321106,1.4104480743408203,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.4703441262245178,0.3077361285686493,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_670,0.3769111633300781,0.15023894608020782,"{""type"":""Point"",""coordinates"":[-93.09325944908412,30.711491712469442]}"
0_726,1.1969029903411865,0.36182501912117004,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_727,0.5840306282043457,0.13091184198856354,"{""type"":""Point"",""coordinates"":[-110.20319801925139,29.81866902661796]}"
0_776,0.9996830224990845,0.5376245975494385,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,0.9013782739639282,0.12571796774864197,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,1.0356123447418213,0.16922618448734283,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_833,0.4888530969619751,0.10094507783651352,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_841,0.32685887813568115,0.9422848224639893,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_886,1.1066014766693115,0.25210416316986084,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_905,0.8994197845458984,0.12212435901165009,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,1.0843199491500854,0.10262838006019592,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_957,0.8398951292037964,0.10538855940103531,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,1.0863115787506104,0.09230281412601471,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1116,0.6747017502784729,0.15454977750778198,"{""type"":""Point"",""coordinates"":[-36.628333348007686,-6.629450061751454]}"
0_1176,0.966772198677063,0.1548648476600647,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1177,0.9214245080947876,0.13247692584991455,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1193,0.8945278525352478,0.09717540442943573,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.4466612637042999,0.11249205470085144,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,1.3084070682525635,0.08089198172092438,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.8924045562744141,0.1295878142118454,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.724289059638977,0.09824730455875397,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,1.2115833759307861,0.10889556258916855,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1324,0.39226680994033813,0.10563521087169647,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.9729194045066833,1.122522234916687,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,1.1013718843460083,0.13687433302402496,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.5917704701423645,0.13220463693141937,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.6939014196395874,0.3294266164302826,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,0.6788172125816345,0.10347136855125427,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.6063631772994995,0.0950043648481369,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1445,0.4334699809551239,0.3575502634048462,"{""type"":""Point"",""coordinates"":[-105.84367626799288,24.295870391219005]}"
0_1454,0.4677462577819824,0.1181444600224495,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.45090243220329285,0.1484457105398178,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1465,0.8014695644378662,0.1091184988617897,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1470,1.3254213333129883,0.2287612408399582,"{""type"":""Point"",""coordinates"":[-91.96159682104457,15.925319549792444]}"
0_1474,0.8123688101768494,0.10341007262468338,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1499,0.4424842596054077,0.10987822711467743,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1516,1.506292700767517,0.1225232183933258,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,0.6971992254257202,0.24828018248081207,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1637,0.8206766843795776,0.5045994520187378,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1671,1.21364164352417,0.2501778304576874,"{""type"":""Point"",""coordinates"":[-72.31867693116918,8.244721718941484]}"
0_1735,1.5188727378845215,0.765211284160614,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,0.7539039850234985,0.09586701542139053,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1764,0.4121134579181671,0.08937983959913254,"{""type"":""Point"",""coordinates"":[-87.33812771123678,33.23688458079653]}"
0_1792,0.8755432963371277,0.11676724255084991,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1797,0.4341262876987457,0.684099555015564,"{""type"":""Point"",""coordinates"":[-99.30138012765362,22.527365462761132]}"
0_1799,0.6046966314315796,0.1686345636844635,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,1.1553353071212769,0.08865490555763245,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_1959,0.4308602809906006,0.09079992771148682,"{""type"":""Point"",""coordinates"":[-59.58372146370953,-10.136651011306057]}"
0_2031,0.5513087511062622,0.11415484547615051,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.9204186797142029,0.11524008959531784,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,1.6606863737106323,0.11773578077554703,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.7850404381752014,0.13593754172325134,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2186,0.7123115062713623,0.09778261929750443,"{""type"":""Point"",""coordinates"":[-65.09549727283029,-25.82595172025077]}"
0_2208,0.6094983816146851,0.19956636428833008,"{""type"":""Point"",""coordinates"":[-62.65361358429318,-17.01673661328209]}"
0_2210,0.29550448060035706,0.12087592482566833,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,0.4368470311164856,0.15084365010261536,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2307,0.39814314246177673,0.15702345967292786,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2376,0.27974286675453186,0.5436973571777344,"{""type"":""Point"",""coordinates"":[-60.08567844312024,-3.9907317384630363]}"
0_2378,0.5844423770904541,0.5537105202674866,"{""type"":""Point"",""coordinates"":[-102.53456471565298,28.884778519688894]}"
0_2398,0.4599214196205139,0.10211632400751114,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2410,0.38339167833328247,0.13574577867984772,"{""type"":""Point"",""coordinates"":[-64.76193872472668,-26.51310622007925]}"
0_2462,0.429100900888443,0.528883695602417,"{""type"":""Point"",""coordinates"":[-64.0757494502283,-9.716698687848597]}"
0_2467,1.2121933698654175,0.2365143895149231,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2491,1.4718031883239746,0.2537011206150055,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,0.5322510004043579,0.08344164490699768,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2500,0.7717933058738708,0.09025779366493225,"{""type"":""Point"",""coordinates"":[-49.60814116595845,-5.703710933380447]}"
0_2508,0.33696305751800537,0.08707310259342194,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,0.36875757575035095,0.14493350684642792,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2541,0.6712297201156616,0.9107158184051514,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.48051321506500244,0.08486047387123108,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2656,0.8143226504325867,0.10236057639122009,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2728,1.351309061050415,0.3434878885746002,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,0.41707736253738403,0.18980629742145538,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,1.5084784030914307,0.5912915468215942,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2804,0.9076135158538818,0.11027555167675018,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2840,1.4556175470352173,0.10708655416965485,"{""type"":""Point"",""coordinates"":[-41.94354281864364,-13.758481171891063]}"
0_2881,0.6051637530326843,0.09795235842466354,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2922,1.3294227123260498,0.11697402596473694,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2938,1.2538058757781982,1.3650662899017334,"{""type"":""Point"",""coordinates"":[-87.83967648117205,14.243675940426899]}"
0_2941,1.1398578882217407,0.5007036924362183,"{""type"":""Point"",""coordinates"":[-86.8545520103455,13.684832577896026]}"
0_2958,1.0336453914642334,0.09595988690853119,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
0_2998,1.3191955089569092,0.2735389769077301,"{""type"":""Point"",""coordinates"":[-92.2885212018713,16.188375261580514]}"
0_3019,0.9503333568572998,0.1056424155831337,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3295,1.1638067960739136,0.14677774906158447,"{""type"":""Point"",""coordinates"":[-45.80500521880425,-2.1513772805196374]}"
0_3312,0.45116084814071655,0.5613092184066772,"{""type"":""Point"",""coordinates"":[-108.66749382015018,33.43018367535134]}"
0_3377,0.45501863956451416,0.11639013141393661,"{""type"":""Point"",""coordinates"":[-54.5465257303568,-10.50820659829147]}"
0_3398,0.48406627774238586,0.19170168042182922,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3401,1.2399576902389526,0.7109416723251343,"{""type"":""Point"",""coordinates"":[-88.68709818139992,14.484197325196991]}"
0_3462,0.39509159326553345,0.17274080216884613,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3489,0.9890020489692688,0.1253966987133026,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3558,1.1271687746047974,0.3544795513153076,"{""type"":""Point"",""coordinates"":[-86.86865186907471,14.18184150711683]}"
0_3570,0.8628390431404114,0.11688055098056793,"{""type"":""Point"",""coordinates"":[-43.016112174406196,-9.2625503118427]}"
0_3585,0.41188713908195496,0.10588626563549042,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3622,0.4954994022846222,0.1654951125383377,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3633,1.2056337594985962,0.23941902816295624,"{""type"":""Point"",""coordinates"":[-71.78891321906437,8.547417783641189]}"
0_3645,1.325523853302002,0.5774981379508972,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3668,0.30238497257232666,0.568630576133728,"{""type"":""Point"",""coordinates"":[26.810973710245083,0.7051072969555986]}"
0_3676,0.3304457664489746,0.09823030233383179,"{""type"":""Point"",""coordinates"":[-109.83591860992775,28.187980140177185]}"
0_3743,1.1949535608291626,0.2314205765724182,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3783,0.9953697919845581,0.10874282568693161,"{""type"":""Point"",""coordinates"":[-57.29469799911744,-14.388791492884607]}"
0_3813,1.0940781831741333,0.10981496423482895,"{""type"":""Point"",""coordinates"":[-90.42989624488071,19.448203458717696]}"
0_3830,0.44171836972236633,0.42378854751586914,"{""type"":""Point"",""coordinates"":[-100.01777670077955,19.142243967575272]}"
0_3871,0.35779640078544617,0.10779602825641632,"{""type"":""Point"",""coordinates"":[-81.96908131613024,33.73044879370322]}"
0_3873,0.9123172163963318,0.36771032214164734,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3889,1.1579089164733887,0.3161422610282898,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
