system:index,ia,vr,.geo
0_111,1.1268471479415894,0.5688022375106812,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,2.4244298934936523,0.11325085908174515,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,1.000427007675171,0.07619042694568634,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,1.196519374847412,0.16568289697170258,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_253,0.7374873161315918,0.11945042759180069,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,1.4983413219451904,0.5272549986839294,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_298,1.4280487298965454,0.13119924068450928,"{""type"":""Point"",""coordinates"":[13.904209614076203,1.4194579156627114]}"
0_335,1.127224326133728,0.16252931952476501,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_385,0.6735562086105347,0.22943992912769318,"{""type"":""Point"",""coordinates"":[-36.05832644874819,-6.162448926403277]}"
0_386,1.2940330505371094,0.14173491299152374,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.6957957148551941,0.13956937193870544,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.8713750243186951,0.13352525234222412,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_456,2.4088399410247803,0.1664961725473404,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_531,0.756459653377533,0.098413847386837,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,1.3115850687026978,0.13797232508659363,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_587,1.5963332653045654,0.22382749617099762,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_604,1.4695976972579956,0.3077361285686493,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_607,0.7731172442436218,0.11122913658618927,"{""type"":""Point"",""coordinates"":[-67.52424793324583,-0.4316474451852236]}"
0_726,1.7049882411956787,0.36182501912117004,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_727,1.0358130931854248,0.13091184198856354,"{""type"":""Point"",""coordinates"":[-110.20319801925139,29.81866902661796]}"
0_776,1.2109827995300293,0.5376245975494385,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_792,0.7401152849197388,0.11994926631450653,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,1.7485491037368774,0.12571796774864197,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,2.0344157218933105,0.16922618448734283,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_833,1.3602598905563354,0.10094507783651352,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_841,1.2128090858459473,0.9422848224639893,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_886,0.8016116619110107,0.25210416316986084,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_905,1.223635196685791,0.12212435901165009,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,1.2321561574935913,0.10262838006019592,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_957,1.3183163404464722,0.10538855940103531,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_961,0.8344988822937012,0.24632059037685394,"{""type"":""Point"",""coordinates"":[-5.643482355388482,6.689211870951929]}"
0_993,0.7774724364280701,0.5077948570251465,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1006,1.1091091632843018,0.09230281412601471,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1013,0.7102115750312805,0.24360306560993195,"{""type"":""Point"",""coordinates"":[-1.9764721609086238,6.0128004727722235]}"
0_1116,1.1754528284072876,0.15454977750778198,"{""type"":""Point"",""coordinates"":[-36.628333348007686,-6.629450061751454]}"
0_1176,0.9725291132926941,0.1548648476600647,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1208,1.8407249450683594,0.11249205470085144,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.7899526357650757,0.08089198172092438,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.9919503927230835,0.1295878142118454,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,1.385391116142273,0.09824730455875397,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1225,1.0872056484222412,0.12135565280914307,"{""type"":""Point"",""coordinates"":[-112.0738526570714,34.120216696659156]}"
0_1265,1.1782581806182861,0.10889556258916855,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.7857323288917542,0.11368047446012497,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,1.2038906812667847,0.10563521087169647,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,1.1979637145996094,1.122522234916687,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7464928030967712,0.13687433302402496,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.7980076670646667,0.13220463693141937,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.9702207446098328,0.3294266164302826,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,0.7275943756103516,0.10347136855125427,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,1.415452480316162,0.0950043648481369,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1454,0.7077168226242065,0.1181444600224495,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.6577544808387756,0.1484457105398178,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1465,1.6602482795715332,0.1091184988617897,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1474,1.5085933208465576,0.10341007262468338,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1499,0.7363513112068176,0.10987822711467743,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1516,1.596823811531067,0.1225232183933258,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,1.2447593212127686,0.24828018248081207,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1601,1.3642635345458984,0.12192709743976593,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
0_1671,1.9334187507629395,0.2501778304576874,"{""type"":""Point"",""coordinates"":[-72.31867693116918,8.244721718941484]}"
0_1721,1.6556531190872192,0.243180513381958,"{""type"":""Point"",""coordinates"":[-97.0555386140583,20.13289068781206]}"
0_1735,2.2298738956451416,0.765211284160614,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,0.7683822512626648,0.09586701542139053,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1764,0.7401411533355713,0.08937983959913254,"{""type"":""Point"",""coordinates"":[-87.33812771123678,33.23688458079653]}"
0_1797,1.0942384004592896,0.684099555015564,"{""type"":""Point"",""coordinates"":[-99.30138012765362,22.527365462761132]}"
0_1799,0.7502092719078064,0.1686345636844635,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,1.0835936069488525,0.08865490555763245,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_1959,1.18221914768219,0.09079992771148682,"{""type"":""Point"",""coordinates"":[-59.58372146370953,-10.136651011306057]}"
0_2031,0.935140073299408,0.11415484547615051,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.9859668612480164,0.11524008959531784,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.9123091101646423,0.11773578077554703,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,2.3960652351379395,0.13593754172325134,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2186,1.0837771892547607,0.09778261929750443,"{""type"":""Point"",""coordinates"":[-65.09549727283029,-25.82595172025077]}"
0_2208,1.4007627964019775,0.19956636428833008,"{""type"":""Point"",""coordinates"":[-62.65361358429318,-17.01673661328209]}"
0_2210,2.0308282375335693,0.12087592482566833,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,0.9794989824295044,0.15084365010261536,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2307,0.7705380320549011,0.15702345967292786,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2333,0.7910698652267456,0.28433865308761597,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
0_2378,0.9456933736801147,0.5537105202674866,"{""type"":""Point"",""coordinates"":[-102.53456471565298,28.884778519688894]}"
0_2398,1.08629310131073,0.10211632400751114,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2410,1.29234778881073,0.13574577867984772,"{""type"":""Point"",""coordinates"":[-64.76193872472668,-26.51310622007925]}"
0_2462,1.2050209045410156,0.528883695602417,"{""type"":""Point"",""coordinates"":[-64.0757494502283,-9.716698687848597]}"
0_2467,1.655361533164978,0.2365143895149231,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2491,0.9892884492874146,0.2537011206150055,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,1.7506811618804932,0.08344164490699768,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2500,1.2232393026351929,0.09025779366493225,"{""type"":""Point"",""coordinates"":[-49.60814116595845,-5.703710933380447]}"
0_2508,1.5341070890426636,0.08707310259342194,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,1.0407679080963135,0.14493350684642792,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2586,0.6726387739181519,0.2669406235218048,"{""type"":""Point"",""coordinates"":[-11.929557456577639,8.460564811714558]}"
0_2656,0.7182496786117554,0.10236057639122009,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2728,1.034575343132019,0.3434878885746002,"{""type"":""Point"",""coordinates"":[-94.39929516611872,16.658100875887794]}"
0_2730,2.1944620609283447,0.18980629742145538,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,1.0371687412261963,0.5912915468215942,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2785,0.6558916568756104,0.1413705199956894,"{""type"":""Point"",""coordinates"":[17.91817756375242,0.11728208554248688]}"
0_2804,1.7134194374084473,0.11027555167675018,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2840,1.214296579360962,0.10708655416965485,"{""type"":""Point"",""coordinates"":[-41.94354281864364,-13.758481171891063]}"
0_2922,0.705668568611145,0.11697402596473694,"{""type"":""Point"",""coordinates"":[-41.63398206638998,-5.114230629195298]}"
0_2925,1.2900339365005493,0.4229661822319031,"{""type"":""Point"",""coordinates"":[-90.25683535511783,16.289184548933125]}"
0_2938,1.128228783607483,1.3650662899017334,"{""type"":""Point"",""coordinates"":[-87.83967648117205,14.243675940426899]}"
0_2941,1.0387053489685059,0.5007036924362183,"{""type"":""Point"",""coordinates"":[-86.8545520103455,13.684832577896026]}"
0_2958,0.7157734632492065,0.09595988690853119,"{""type"":""Point"",""coordinates"":[-42.81661844877082,-7.9563335611990205]}"
0_2980,1.0903189182281494,0.12260366976261139,"{""type"":""Point"",""coordinates"":[-8.537122634675082,8.043141424932408]}"
0_2998,0.9148063063621521,0.2735389769077301,"{""type"":""Point"",""coordinates"":[-92.2885212018713,16.188375261580514]}"
0_3019,2.2778708934783936,0.1056424155831337,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3042,0.9713654518127441,0.11127276718616486,"{""type"":""Point"",""coordinates"":[-50.08584335872168,-5.2800360667023005]}"
0_3064,0.7820786237716675,0.12995627522468567,"{""type"":""Point"",""coordinates"":[-66.1279238382764,2.2596524373870857]}"
0_3207,0.7199256420135498,0.11968913674354553,"{""type"":""Point"",""coordinates"":[-81.18309325251779,8.357020228742467]}"
0_3235,1.7769261598587036,0.11408478766679764,"{""type"":""Point"",""coordinates"":[-85.62873705486464,12.57146662749358]}"
0_3377,1.2323403358459473,0.11639013141393661,"{""type"":""Point"",""coordinates"":[-54.5465257303568,-10.50820659829147]}"
0_3398,1.6390634775161743,0.19170168042182922,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3401,0.9876337051391602,0.7109416723251343,"{""type"":""Point"",""coordinates"":[-88.68709818139992,14.484197325196991]}"
0_3407,1.8610800504684448,0.20223964750766754,"{""type"":""Point"",""coordinates"":[-65.05225249739841,5.260786466613584]}"
0_3462,1.214296579360962,0.17274080216884613,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3481,2.296689033508301,0.5625131726264954,"{""type"":""Point"",""coordinates"":[-74.47893074903683,-9.60584836426627]}"
0_3558,1.1463712453842163,0.3544795513153076,"{""type"":""Point"",""coordinates"":[-86.86865186907471,14.18184150711683]}"
0_3570,1.231389045715332,0.11688055098056793,"{""type"":""Point"",""coordinates"":[-43.016112174406196,-9.2625503118427]}"
0_3585,1.4273022413253784,0.10588626563549042,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3608,0.675876259803772,0.13604456186294556,"{""type"":""Point"",""coordinates"":[-47.43570279707829,-9.265948568214082]}"
0_3622,1.4983413219451904,0.1654951125383377,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3633,1.920796513557434,0.23941902816295624,"{""type"":""Point"",""coordinates"":[-71.78891321906437,8.547417783641189]}"
0_3645,1.262374997138977,0.5774981379508972,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3652,0.6505032181739807,0.3837888240814209,"{""type"":""Point"",""coordinates"":[-3.03813341058362,6.442844948306417]}"
0_3668,1.0808205604553223,0.568630576133728,"{""type"":""Point"",""coordinates"":[26.810973710245083,0.7051072969555986]}"
0_3676,1.0459250211715698,0.09823030233383179,"{""type"":""Point"",""coordinates"":[-109.83591860992775,28.187980140177185]}"
