system:index,fa,ir,.geo
0_111,2.1299633979797363,0.17577220499515533,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_293,0.15420739352703094,0.16525357961654663,"{""type"":""Point"",""coordinates"":[-50.27984459663499,-0.43399831673452116]}"
0_299,0.6172738075256348,0.14208896458148956,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,1.0632998943328857,0.10615990310907364,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_392,0.25364822149276733,0.16853134334087372,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.2513907551765442,0.17446891963481903,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_508,0.5091996192932129,0.17452526092529297,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_545,2.7859301567077637,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7686720490455627,0.11601380258798599,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.23408059775829315,0.19268740713596344,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,1.3812246322631836,0.11609682440757751,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_639,0.1695760190486908,0.16334941983222961,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_684,1.2277812957763672,0.11689165234565735,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_726,1.2296061515808105,0.18308188021183014,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.5459839105606079,0.15764562785625458,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,2.3865740299224854,0.19939619302749634,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_957,0.29175135493278503,0.162054643034935,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,0.1771996021270752,0.17399102449417114,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1056,0.8119392991065979,0.10632961988449097,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1104,0.5105196833610535,0.15255743265151978,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1147,0.20540298521518707,0.17516636848449707,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1192,0.16484026610851288,0.16588127613067627,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.45229190587997437,0.162054643034935,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1222,0.33634841442108154,0.10660653561353683,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.3653114140033722,0.18039776384830475,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1343,1.46396803855896,0.2112201452255249,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7726987600326538,0.21621133387088776,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1421,0.6523106694221497,0.18668347597122192,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1474,1.197238564491272,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1601,0.22731339931488037,0.17399102449417114,"{""type"":""Point"",""coordinates"":[-65.18780127814506,6.724014279507629]}"
0_1637,1.8584980964660645,0.13224084675312042,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1721,2.426896572113037,0.3497527241706848,"{""type"":""Point"",""coordinates"":[-97.0555386140583,20.13289068781206]}"
0_1739,1.2851166725158691,0.15544167160987854,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.44627344608306885,0.1164139062166214,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.5991767644882202,0.1348298043012619,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,1.8371082544326782,0.09895280748605728,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_2031,0.6555896997451782,0.1739947497844696,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.4741859436035156,0.23135246336460114,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,1.354796290397644,0.11689165234565735,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,1.4384571313858032,0.11320493370294571,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2167,0.2743999660015106,0.16546019911766052,"{""type"":""Point"",""coordinates"":[-55.825782843510495,-3.139563308624419]}"
0_2247,0.1752932220697403,0.17397375404834747,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2300,1.1515569686889648,0.19954007863998413,"{""type"":""Point"",""coordinates"":[-76.12777627519255,2.694118636001893]}"
0_2307,0.24605730175971985,0.17516636848449707,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2376,0.3829936385154724,0.16301079094409943,"{""type"":""Point"",""coordinates"":[-60.08567844312024,-3.9907317384630363]}"
