system:index,fr,vr,.geo
0_72,0.5435081124305725,0.09164877235889435,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.16893407702445984,0.5688022375106812,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.7465973496437073,0.11325085908174515,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_171,0.6036077737808228,0.16568289697170258,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_192,0.17261134088039398,0.10700424760580063,"{""type"":""Point"",""coordinates"":[-41.04073942867741,-12.090689962400026]}"
0_262,0.4406258761882782,0.5272549986839294,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_299,0.3474387526512146,0.16875791549682617,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,0.24670405685901642,0.16252931952476501,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.6682016849517822,0.14173491299152374,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_456,0.3110958933830261,0.1664961725473404,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_531,0.2034052163362503,0.098413847386837,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,0.23565073311328888,0.13797232508659363,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_587,0.5912368297576904,0.22382749617099762,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.28421393036842346,1.4104480743408203,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.5360967516899109,0.3077361285686493,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_639,0.49779942631721497,0.387647807598114,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_726,0.3337651193141937,0.36182501912117004,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_792,0.2087964117527008,0.11994926631450653,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,0.20441918075084686,0.12571796774864197,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.6001607775688171,0.16922618448734283,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_886,0.12717056274414062,0.25210416316986084,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_905,0.09114635735750198,0.12212435901165009,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,0.28826040029525757,0.10262838006019592,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_957,1.3670005798339844,0.10538855940103531,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_961,0.2376801073551178,0.24632059037685394,"{""type"":""Point"",""coordinates"":[-5.643482355388482,6.689211870951929]}"
0_993,0.2986285090446472,0.5077948570251465,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1013,0.3632577657699585,0.24360306560993195,"{""type"":""Point"",""coordinates"":[-1.9764721609086238,6.0128004727722235]}"
0_1177,0.16888487339019775,0.13247692584991455,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1193,0.5175049901008606,0.09717540442943573,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.42316046357154846,0.11249205470085144,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.5658956170082092,0.08089198172092438,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.2094583809375763,0.1295878142118454,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.3186770975589752,0.09824730455875397,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.5821790099143982,0.10889556258916855,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.341854065656662,0.11368047446012497,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,0.17668990790843964,0.10563521087169647,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.15791770815849304,1.122522234916687,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.4658793807029724,0.13687433302402496,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.9379980564117432,0.13220463693141937,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.17886163294315338,0.3294266164302826,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,1.0097113847732544,0.10347136855125427,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.44208842515945435,0.0950043648481369,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1465,1.3853685855865479,0.1091184988617897,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1474,0.19852907955646515,0.10341007262468338,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1516,0.09587033092975616,0.1225232183933258,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,0.15868189930915833,0.24828018248081207,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1637,0.3999916911125183,0.5045994520187378,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1671,0.22296284139156342,0.2501778304576874,"{""type"":""Point"",""coordinates"":[-72.31867693116918,8.244721718941484]}"
0_1735,0.17037861049175262,0.765211284160614,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,0.9030229449272156,0.09586701542139053,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.583775520324707,0.11676724255084991,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.5412613153457642,0.1686345636844635,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_2031,0.30242276191711426,0.11415484547615051,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.5382278561592102,0.11524008959531784,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.5228785276412964,0.11773578077554703,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.834970235824585,0.13593754172325134,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2186,0.16539767384529114,0.09778261929750443,"{""type"":""Point"",""coordinates"":[-65.09549727283029,-25.82595172025077]}"
0_2210,0.2984994947910309,0.12087592482566833,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,1.4559235572814941,0.15084365010261536,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2307,0.9942376017570496,0.15702345967292786,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2333,0.6810373663902283,0.28433865308761597,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
0_2397,0.38877347111701965,0.5612072348594666,"{""type"":""Point"",""coordinates"":[-78.18461300915935,-4.413365808700447]}"
0_2398,0.9185078144073486,0.10211632400751114,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2410,0.8004729747772217,0.13574577867984772,"{""type"":""Point"",""coordinates"":[-64.76193872472668,-26.51310622007925]}"
0_2467,0.45336195826530457,0.2365143895149231,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2491,0.34784796833992004,0.2537011206150055,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,0.23322515189647675,0.08344164490699768,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2508,0.231787770986557,0.08707310259342194,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,1.3939837217330933,0.14493350684642792,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2541,0.21797116100788116,0.9107158184051514,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.7163611054420471,0.08486047387123108,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
