system:index,fr,va,.geo
0_34,0.6765486598014832,1.4624701738357544,"{""type"":""Point"",""coordinates"":[-12.060559370089214,11.642505610327161]}"
0_52,0.6226898431777954,1.1279780864715576,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_57,0.43166226148605347,0.8599572777748108,"{""type"":""Point"",""coordinates"":[24.49776379967554,-15.424510684296594]}"
0_72,0.5435081124305725,0.3824189007282257,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.16893407702445984,0.5669841170310974,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.7465973496437073,0.489380806684494,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_171,0.6036077737808228,0.3920813798904419,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_192,0.17261134088039398,1.5035650730133057,"{""type"":""Point"",""coordinates"":[-41.04073942867741,-12.090689962400026]}"
0_225,0.5430299043655396,0.38403499126434326,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_262,0.4406258761882782,0.6625273823738098,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_299,0.3474387526512146,0.822478175163269,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,0.24670405685901642,0.4837406277656555,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.6682016849517822,0.8347429037094116,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_446,0.10808857530355453,1.315495491027832,"{""type"":""Point"",""coordinates"":[-64.0070715475423,-19.303562468998194]}"
0_451,0.10508047789335251,0.9493498802185059,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_456,0.3110958933830261,0.4788872003555298,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_501,0.19961954653263092,1.5453523397445679,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_508,0.37891077995300293,0.5235768556594849,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_531,0.2034052163362503,1.2969284057617188,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,0.23565073311328888,1.3985756635665894,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.6731057167053223,0.6113486289978027,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.5912368297576904,0.5831418633460999,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.28421393036842346,0.45124390721321106,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.5360967516899109,0.4703441262245178,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_611,0.20407365262508392,1.5504239797592163,"{""type"":""Point"",""coordinates"":[-40.17368293763156,-4.7537492940783705]}"
0_684,0.28547754883766174,1.2048195600509644,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_726,0.3337651193141937,1.1969029903411865,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_800,0.20441918075084686,0.9013782739639282,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.6001607775688171,1.0356123447418213,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_886,0.12717056274414062,1.1066014766693115,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_887,0.13285408914089203,0.35485872626304626,"{""type"":""Point"",""coordinates"":[-90.42097041841299,33.13702087212381]}"
0_905,0.09114635735750198,0.8994197845458984,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,0.28826040029525757,1.0843199491500854,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_940,0.8595086932182312,0.5051090121269226,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,1.3670005798339844,0.8398951292037964,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
