system:index,fr,ia,.geo
0_34,0.6765486598014832,1.0959423780441284,"{""type"":""Point"",""coordinates"":[-12.060559370089214,11.642505610327161]}"
0_52,0.6226898431777954,1.3933779001235962,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_57,0.43166226148605347,2.2679548263549805,"{""type"":""Point"",""coordinates"":[24.49776379967554,-15.424510684296594]}"
0_111,0.16893407702445984,1.1268471479415894,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.7465973496437073,2.4244298934936523,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_171,0.6036077737808228,1.196519374847412,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_225,0.5430299043655396,1.2662273645401,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_262,0.4406258761882782,1.4983413219451904,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_335,0.24670405685901642,1.127224326133728,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.6682016849517822,1.2940330505371094,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_451,0.10508047789335251,1.3750487565994263,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_456,0.3110958933830261,2.4088399410247803,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_501,0.19961954653263092,1.5319263935089111,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_531,0.2034052163362503,0.756459653377533,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,0.23565073311328888,1.3115850687026978,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.6731057167053223,0.7430298924446106,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.5912368297576904,1.5963332653045654,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_604,0.5360967516899109,1.4695976972579956,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_611,0.20407365262508392,0.7423021197319031,"{""type"":""Point"",""coordinates"":[-40.17368293763156,-4.7537492940783705]}"
0_726,0.3337651193141937,1.7049882411956787,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_792,0.2087964117527008,0.7401152849197388,"{""type"":""Point"",""coordinates"":[-3.699923654646928,7.278260360596473]}"
0_800,0.20441918075084686,1.7485491037368774,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.6001607775688171,2.0344157218933105,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_886,0.12717056274414062,0.8016116619110107,"{""type"":""Point"",""coordinates"":[-79.85521794422593,-1.653935420406816]}"
0_887,0.13285408914089203,0.7898625731468201,"{""type"":""Point"",""coordinates"":[-90.42097041841299,33.13702087212381]}"
0_905,0.09114635735750198,1.223635196685791,"{""type"":""Point"",""coordinates"":[-39.422656797399966,-8.08031923184519]}"
0_931,0.28826040029525757,1.2321561574935913,"{""type"":""Point"",""coordinates"":[-41.00561358176608,-6.310071292450152]}"
0_940,0.8595086932182312,2.2718112468719482,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,1.3670005798339844,1.3183163404464722,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_961,0.2376801073551178,0.8344988822937012,"{""type"":""Point"",""coordinates"":[-5.643482355388482,6.689211870951929]}"
0_993,0.2986285090446472,0.7774724364280701,"{""type"":""Point"",""coordinates"":[-4.03201287888984,6.418360633763552]}"
0_1013,0.3632577657699585,0.7102115750312805,"{""type"":""Point"",""coordinates"":[-1.9764721609086238,6.0128004727722235]}"
0_1031,0.14757972955703735,0.7564058303833008,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.45302310585975647,0.7058756351470947,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1145,0.16283513605594635,0.7413380146026611,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,1.4110783338546753,0.653317928314209,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1192,0.5821790099143982,0.7235741019248962,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1208,0.42316046357154846,1.8407249450683594,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.5658956170082092,0.7899526357650757,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1215,0.2094583809375763,0.9919503927230835,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.3186770975589752,1.385391116142273,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,0.3194034695625305,1.3107911348342896,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,0.5821790099143982,1.1782581806182861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1285,0.341854065656662,0.7857323288917542,"{""type"":""Point"",""coordinates"":[-4.695563500006546,6.009037223224123]}"
0_1324,0.17668990790843964,1.2038906812667847,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.15791770815849304,1.1979637145996094,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.4658793807029724,0.7464928030967712,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1392,0.5890048146247864,0.7199256420135498,"{""type"":""Point"",""coordinates"":[-10.917309553748133,8.253415210564407]}"
0_1393,0.9379980564117432,0.7980076670646667,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1402,0.17886163294315338,0.9702207446098328,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1411,1.0097113847732544,0.7275943756103516,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.44208842515945435,1.415452480316162,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1430,0.46372681856155396,1.5201860666275024,"{""type"":""Point"",""coordinates"":[-39.591388718283,-15.189725557242904]}"
0_1465,1.3853685855865479,1.6602482795715332,"{""type"":""Point"",""coordinates"":[-50.886748212416734,-26.621115634349827]}"
0_1474,0.19852907955646515,1.5085933208465576,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1496,0.15911294519901276,2.034226894378662,"{""type"":""Point"",""coordinates"":[-40.38778765572844,-10.669651142665895]}"
0_1516,0.09587033092975616,1.596823811531067,"{""type"":""Point"",""coordinates"":[-41.02224665942409,-8.158427680970222]}"
0_1522,0.15868189930915833,1.2447593212127686,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1533,0.28619280457496643,1.705254077911377,"{""type"":""Point"",""coordinates"":[-43.24371973254598,-19.30009931652522]}"
0_1654,0.37911456823349,1.0755324363708496,"{""type"":""Point"",""coordinates"":[-103.20818585832946,18.38308076411996]}"
0_1662,0.5360967516899109,1.8519848585128784,"{""type"":""Point"",""coordinates"":[-72.48800700987368,-11.656484856972696]}"
0_1671,0.22296284139156342,1.9334187507629395,"{""type"":""Point"",""coordinates"":[-72.31867693116918,8.244721718941484]}"
0_1690,0.2256324738264084,0.9923906326293945,"{""type"":""Point"",""coordinates"":[-43.47529049592408,-18.445638567142627]}"
0_1735,0.17037861049175262,2.2298738956451416,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,0.9030229449272156,0.7683822512626648,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1799,0.5412613153457642,0.7502092719078064,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1963,0.30844786763191223,1.5140972137451172,"{""type"":""Point"",""coordinates"":[-44.43256216212988,-22.59256257815732]}"
0_1994,0.15847693383693695,0.7571563720703125,"{""type"":""Point"",""coordinates"":[7.878689943136305,5.834842114809461]}"
0_2031,0.30242276191711426,0.935140073299408,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2035,0.6558499336242676,1.2473020553588867,"{""type"":""Point"",""coordinates"":[27.782590614719233,0.9093049607446123]}"
0_2050,0.5382278561592102,0.9859668612480164,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.5228785276412964,0.9123091101646423,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.834970235824585,2.3960652351379395,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2186,0.16539767384529114,1.0837771892547607,"{""type"":""Point"",""coordinates"":[-65.09549727283029,-25.82595172025077]}"
0_2210,0.2984994947910309,2.0308282375335693,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,1.4559235572814941,0.9794989824295044,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2271,0.09375258535146713,1.4092001914978027,"{""type"":""Point"",""coordinates"":[-70.48541849454313,19.45669791388108]}"
0_2307,0.9942376017570496,0.7705380320549011,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2333,0.6810373663902283,0.7910698652267456,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
0_2391,0.40975460410118103,0.6867757439613342,"{""type"":""Point"",""coordinates"":[15.991403811497946,-1.2191664613047866]}"
0_2398,0.9185078144073486,1.08629310131073,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2410,0.8004729747772217,1.29234778881073,"{""type"":""Point"",""coordinates"":[-64.76193872472668,-26.51310622007925]}"
0_2467,0.45336195826530457,1.655361533164978,"{""type"":""Point"",""coordinates"":[10.857830714718201,1.9481048431035526]}"
0_2468,0.23207344114780426,1.1702100038528442,"{""type"":""Point"",""coordinates"":[-98.63959166512251,20.984468947613728]}"
0_2491,0.34784796833992004,0.9892884492874146,"{""type"":""Point"",""coordinates"":[11.088106878459447,6.915479509529949]}"
0_2498,0.23322515189647675,1.7506811618804932,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2508,0.231787770986557,1.5341070890426636,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,1.3939837217330933,1.0407679080963135,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2519,0.30452433228492737,0.929668664932251,"{""type"":""Point"",""coordinates"":[-97.00376819984339,19.54060284623389]}"
0_2534,0.37790924310684204,1.0349138975143433,"{""type"":""Point"",""coordinates"":[-39.972241722311715,-8.9382277044568]}"
0_2586,0.44881176948547363,0.6726387739181519,"{""type"":""Point"",""coordinates"":[-11.929557456577639,8.460564811714558]}"
0_2627,0.3854110538959503,1.3159879446029663,"{""type"":""Point"",""coordinates"":[-68.18699659932737,-11.60428224141662]}"
0_2656,0.3646288216114044,0.7182496786117554,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2707,1.2123852968215942,1.283198595046997,"{""type"":""Point"",""coordinates"":[-61.15972247701096,-10.614109642793569]}"
