system:index,fa,fr,.geo
0_111,2.1299633979797363,0.16893407702445984,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_299,0.6172738075256348,0.3474387526512146,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,1.0632998943328857,0.24670405685901642,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_446,1.4490292072296143,0.10808857530355453,"{""type"":""Point"",""coordinates"":[-64.0070715475423,-19.303562468998194]}"
0_451,1.0618844032287598,0.10508047789335251,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_501,2.241243839263916,0.19961954653263092,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_508,0.5091996192932129,0.37891077995300293,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_545,2.7859301567077637,0.23565073311328888,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7686720490455627,0.6731057167053223,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.23408059775829315,0.5912368297576904,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,1.3812246322631836,0.28421393036842346,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_639,0.1695760190486908,0.49779942631721497,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_684,1.2277812957763672,0.28547754883766174,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_726,1.2296061515808105,0.3337651193141937,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_800,2.3865740299224854,0.20441918075084686,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_940,1.3227288722991943,0.8595086932182312,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,0.29175135493278503,1.3670005798339844,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1056,0.8119392991065979,0.45302310585975647,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1104,0.5105196833610535,0.5328627824783325,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1145,2.6808829307556152,0.16283513605594635,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,0.20540298521518707,1.4110783338546753,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1192,0.16484026610851288,0.5821790099143982,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.45229190587997437,0.5175049901008606,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1215,2.1820764541625977,0.2094583809375763,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.33634841442108154,0.3186770975589752,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,0.9196659326553345,0.3194034695625305,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,0.3653114140033722,0.5821790099143982,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1268,1.1223244667053223,0.23967045545578003,"{""type"":""Point"",""coordinates"":[-75.10519614912343,-11.155138766669872]}"
0_1282,0.2504025995731354,0.3942645490169525,"{""type"":""Point"",""coordinates"":[-52.43600891524875,-1.4888660588392246]}"
0_1343,1.46396803855896,0.15791770815849304,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7726987600326538,0.4658793807029724,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1402,1.985886573791504,0.17886163294315338,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1421,0.6523106694221497,0.44208842515945435,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1474,1.197238564491272,0.19852907955646515,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1522,0.43827930092811584,0.15868189930915833,"{""type"":""Point"",""coordinates"":[22.78770828187182,4.74496476085702]}"
0_1533,2.1423323154449463,0.28619280457496643,"{""type"":""Point"",""coordinates"":[-43.24371973254598,-19.30009931652522]}"
0_1637,1.8584980964660645,0.3999916911125183,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1654,1.2020162343978882,0.37911456823349,"{""type"":""Point"",""coordinates"":[-103.20818585832946,18.38308076411996]}"
0_1690,1.9093568325042725,0.2256324738264084,"{""type"":""Point"",""coordinates"":[-43.47529049592408,-18.445638567142627]}"
0_1735,2.210358142852783,0.17037861049175262,"{""type"":""Point"",""coordinates"":[-72.57576059054969,5.319005063616833]}"
0_1739,1.2851166725158691,0.9030229449272156,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1792,0.44627344608306885,0.583775520324707,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.5991767644882202,0.5412613153457642,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1963,1.3271772861480713,0.30844786763191223,"{""type"":""Point"",""coordinates"":[-44.43256216212988,-22.59256257815732]}"
0_1994,1.9555732011795044,0.15847693383693695,"{""type"":""Point"",""coordinates"":[7.878689943136305,5.834842114809461]}"
0_2031,0.6555896997451782,0.30242276191711426,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2050,0.4741859436035156,0.5382278561592102,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,1.354796290397644,0.5228785276412964,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,1.4384571313858032,0.834970235824585,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2247,0.1752932220697403,1.4559235572814941,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2271,1.9185394048690796,0.09375258535146713,"{""type"":""Point"",""coordinates"":[-70.48541849454313,19.45669791388108]}"
0_2300,1.1515569686889648,0.1870494931936264,"{""type"":""Point"",""coordinates"":[-76.12777627519255,2.694118636001893]}"
0_2307,0.24605730175971985,0.9942376017570496,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2333,2.1494643688201904,0.6810373663902283,"{""type"":""Point"",""coordinates"":[5.236390628088237,6.473020389759533]}"
0_2391,1.1865166425704956,0.40975460410118103,"{""type"":""Point"",""coordinates"":[15.991403811497946,-1.2191664613047866]}"
0_2398,1.3496360778808594,0.9185078144073486,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
