system:index,fa,va,.geo
0_49,1.998183012008667,1.1630042791366577,"{""type"":""Point"",""coordinates"":[-101.59089136246003,18.028154198010448]}"
0_85,2.995793104171753,0.9518606066703796,"{""type"":""Point"",""coordinates"":[-80.01728754673853,-2.0912472110645077]}"
0_111,2.1299633979797363,0.5669841170310974,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_299,0.6172738075256348,0.822478175163269,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,1.0632998943328857,0.4837406277656555,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_383,1.1567840576171875,0.7672305703163147,"{""type"":""Point"",""coordinates"":[-90.28859438669349,20.520400458993908]}"
0_392,0.25364822149276733,0.4721083641052246,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.2513907551765442,0.5495365262031555,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_446,1.4490292072296143,1.315495491027832,"{""type"":""Point"",""coordinates"":[-64.0070715475423,-19.303562468998194]}"
0_451,1.0618844032287598,0.9493498802185059,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_501,2.241243839263916,1.5453523397445679,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_508,0.5091996192932129,0.5235768556594849,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_545,2.7859301567077637,1.3985756635665894,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7686720490455627,0.6113486289978027,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.23408059775829315,0.5831418633460999,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,1.3812246322631836,0.45124390721321106,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_684,1.2277812957763672,1.2048195600509644,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_688,1.3346835374832153,0.5784780979156494,"{""type"":""Point"",""coordinates"":[-108.21367147709796,26.94656810832792]}"
0_726,1.2296061515808105,1.1969029903411865,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.5459839105606079,0.9996830224990845,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,2.3865740299224854,0.9013782739639282,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_841,1.357202172279358,0.32685887813568115,"{""type"":""Point"",""coordinates"":[-50.50694530798807,-24.315060925586614]}"
0_940,1.3227288722991943,0.5051090121269226,"{""type"":""Point"",""coordinates"":[-63.098684708470955,-17.881049076873335]}"
0_957,0.29175135493278503,0.8398951292037964,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_986,1.0719846487045288,0.5780591368675232,"{""type"":""Point"",""coordinates"":[-81.31085469429722,22.79598455582915]}"
0_1006,0.1771996021270752,1.0863115787506104,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1056,0.8119392991065979,0.532392144203186,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1074,2.2505202293395996,0.4323577582836151,"{""type"":""Point"",""coordinates"":[-107.18566595180987,24.29968437662394]}"
0_1104,0.5105196833610535,1.1178680658340454,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1145,2.6808829307556152,1.004899263381958,"{""type"":""Point"",""coordinates"":[-38.580889505517035,-3.9823813153575673]}"
0_1147,0.20540298521518707,0.3398204743862152,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1192,0.16484026610851288,0.2577377259731293,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.45229190587997437,0.8945278525352478,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1215,2.1820764541625977,0.8924045562744141,"{""type"":""Point"",""coordinates"":[14.625879446639857,7.31762936984876]}"
0_1222,0.33634841442108154,0.724289059638977,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1251,0.9196659326553345,0.5232118964195251,"{""type"":""Point"",""coordinates"":[-44.50923323409741,-22.759930902111027]}"
0_1265,0.3653114140033722,1.2115833759307861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1268,1.1223244667053223,0.31325724720954895,"{""type"":""Point"",""coordinates"":[-75.10519614912343,-11.155138766669872]}"
0_1277,2.9983017444610596,1.1747632026672363,"{""type"":""Point"",""coordinates"":[-87.76112814700686,13.450654611210716]}"
0_1282,0.2504025995731354,1.1225030422210693,"{""type"":""Point"",""coordinates"":[-52.43600891524875,-1.4888660588392246]}"
0_1343,1.46396803855896,0.9729194045066833,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.7726987600326538,1.1013718843460083,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1402,1.985886573791504,0.6939014196395874,"{""type"":""Point"",""coordinates"":[-80.00167485104996,-4.693367889612559]}"
0_1421,0.6523106694221497,0.6063631772994995,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1470,1.9160605669021606,1.3254213333129883,"{""type"":""Point"",""coordinates"":[-91.96159682104457,15.925319549792444]}"
