system:index,ir,vr,.geo
0_72,0.23135246336460114,0.09164877235889435,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.17577220499515533,0.5688022375106812,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.16536067426204681,0.11325085908174515,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,0.1739947497844696,0.07619042694568634,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,0.17771266400814056,0.16568289697170258,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_253,0.1732666790485382,0.11945042759180069,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,0.19199725985527039,0.5272549986839294,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_298,0.2508852183818817,0.13119924068450928,"{""type"":""Point"",""coordinates"":[13.904209614076203,1.4194579156627114]}"
0_299,0.14208896458148956,0.16875791549682617,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,0.10615990310907364,0.16252931952476501,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.1644905060529709,0.14173491299152374,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.16853134334087372,0.13956937193870544,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.17446891963481903,0.13352525234222412,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_456,0.10368522256612778,0.1664961725473404,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_545,0.13776135444641113,0.13797232508659363,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_587,0.19268740713596344,0.22382749617099762,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.11609682440757751,1.4104480743408203,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.14075195789337158,0.3077361285686493,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_639,0.16334941983222961,0.387647807598114,"{""type"":""Point"",""coordinates"":[-71.86064036746201,-12.227030421864352]}"
0_670,0.16507883369922638,0.15023894608020782,"{""type"":""Point"",""coordinates"":[-93.09325944908412,30.711491712469442]}"
0_726,0.18308188021183014,0.36182501912117004,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.15764562785625458,0.5376245975494385,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
