dist.class,coef,p.value,n
5.81914493948905,0.209008792919204,0,2326784
17.4394691584672,0.00221414785681615,0.00432143991601324,3301010
29.0597928774453,-0.114331055456121,1,2595284
40.6801165964235,-0.0566527151600957,1,1775990
52.3004403154016,-0.0429879479493203,1,1274592
63.9207640343798,0.00820129534431033,7.44090931580885e-05,1589040
75.5410877533579,0.0178237833465444,3.15857783308728e-26,1656572
87.1614114723361,-0.0261981453464917,1,1743786
98.7817351913142,-0.0518266755098397,1,1376514
110.402058910292,-0.0395291261615298,1,1026466
122.022382629271,0.049944043776666,6.83713085816606e-84,678200
133.642706348249,0.0223657978924311,7.65685426054266e-16,570068
145.263030067227,-0.0120242680615694,0.999999149896858,1240414
156.883353786205,-0.0174753606038697,0.999999999953296,1870342
168.503677505183,0.00493010861396685,0.0354387413719856,1974270
180.124001224161,0.00447151601883196,0.0072662884678223,1854542
191.744324943139,0.0504286319879929,2.01814646673555e-172,1493028
203.364648662118,0.00154031202075145,0.182807887381002,944962
214.984972381096,0.0358096279024622,1.89572816412437e-18,549754
226.605296100074,0.0126960186736472,0.0215473879357908,270884
238.225619819052,-0.0471401061783339,0.999999976851501,125568
249.84594353803,-0.0702731021284636,0.999999999947534,64614
261.466267257008,-0.0392606702671047,0.984537860053355,16416
273.086590975986,-0.0349482405393157,0.895981595295958,2046
284.706914694965,-0.301718740383015,0.99999999972946,400
