dist.class,coef,p.value,n
5.70031546692703,0.372800887642239,0,901612
17.0829797607811,0.121516727503193,0,1234368
28.4656435546352,-0.00230176898900269,0.92759107280118,1124334
39.8483073484892,0.129473496941339,0,783518
51.2309711423433,0.0566131345364147,5.93234761088952e-60,611672
62.6136349361974,-0.103379915946034,1,708110
73.9962987300514,0.0346702650631903,2.95718670232209e-38,640366
85.3789625239055,0.0388452340992017,5.96499246334147e-48,759244
96.7616263177596,-0.129583000412105,1,613022
108.144290111614,-0.155041789819994,1,528560
119.526953905468,-0.129790645888339,1,318398
130.909617699322,-0.0238862279844153,0.999936392346274,248450
142.292281493176,-0.0650730634622088,1,358776
153.67494528703,-0.0359954855489777,0.999999999994245,535458
165.057609080884,-0.0364481854844031,1,638484
176.440272874738,-0.149336609856802,1,678884
187.822936668592,-0.153882034545251,1,628416
199.205600462446,-0.136470329105315,1,544656
210.5882642563,-0.14375430455931,1,333600
221.970928050154,-0.139849125196373,1,221274
233.353591844008,-0.228641224059112,1,116348
244.736255637863,-0.328758658581312,1,62358
256.118919431717,-0.286146460996541,1,20858
267.501583225571,-0.32926806155034,1,2390
