dist.class,coef,p.value,n
5.80896398370541,0.198574679007034,0,3338994
17.4089262911162,0.0729771900658372,0,4904392
29.0088880985271,0.0174850944249937,1.37865082523713e-125,4332864
40.6088499059379,0.00132347774978225,0.0416819498652579,3096098
52.2088117133487,-0.0763620368411376,1,2399528
63.8087735207595,-0.0640701778186374,1,2729576
75.4087353281704,-0.0666754423431565,1,2517118
87.0086971355812,0.0502252476238537,0,2316730
98.608658942992,0.0434479788195055,2.61625404558229e-188,1883914
110.208620750403,0.0114651091629206,0.00011339980933908,1365134
121.808582557814,-0.00768260055191889,0.996447430892822,1420654
133.408544365224,-0.0681905159233571,1,1499426
145.008506172635,-0.104664578735998,1,2246488
156.608467980046,-0.0609960970858932,1,2915474
168.208429787457,-0.0153815643545893,0.99999979867971,3021130
179.808391594868,0.00212003760386576,0.171131374635614,2565006
191.408353402279,0.0424486363788474,2.65704725183843e-119,1988666
203.008315209689,0.0301538082133723,2.33714689047377e-16,1480418
214.6082770171,-0.00165992216931796,0.633478097147766,904020
226.208238824511,0.0180526106217182,0.00392238321334472,414440
237.808200631922,-0.0415042833872203,0.999989160906169,194642
249.408162439333,-0.0402061681570047,0.999874433711451,134018
261.008124246744,0.0157851999502297,0.108813062818595,48238
272.608086054154,0.00707940599346197,0.332110044979724,9190
284.208047861565,-0.0014188765813966,0.468497588562613,1048
295.808009668976,0.0544708881132775,0.118225788313396,170
