"id","CEC_mean","CEC_stdDev","DriestQuartes_mean","DriestQuartes_stdDev","Longitude","NPP0010_mean","NPP0010_stdDev","NPP03_mean","NPP03_stdDev","OppCost_mean","OppCost_stdDev","PrecSeanslty_mean","PrecSeanslty_stdDev","Site","WDeficit03_mean","WDeficit03_stdDev","WDeficit8910_mean","WDeficit8910_stdDev","WDeficit99_mean","WDeficit99_stdDev","YrlPrec_mean","YrlPrec_stdDev","Buffer_Size","name","treecover2000_mean","treecover2000_stdDev"
"1_253",12.3298740621016,3.58835622881866,109.732660175502,1.5905705045406,-42.25,12270.4460541901,1395.2792667429,0,0,1839.33866350709,504.8665416953,48.7199983972432,2.46554161666574,269,285.176196391126,12.2857543531693,157.001537796525,6.84049172321858,152.982423101067,6.02009276601389,94.8588005170162,4.56936340140444,5,"",53.9288776695917,30.6148715996856
"1_254",12.3298740621016,3.58835622881866,109.732660175502,1.5905705045406,-42.25,12270.4460541901,1395.2792667429,0,0,1839.33866350709,504.8665416953,48.7199983972432,2.46554161666574,271,285.176196391126,12.2857543531693,157.001537796525,6.84049172321858,152.982423101067,6.02009276601389,94.8588005170162,4.56936340140444,5,"",53.9288776695917,30.6148715996856
"1_242",7.95198196555346,0.719526898134266,52.3396745729782,1.04287514821677,-44.98,12014.4401496259,620.184689798381,6042.60717996675,7824.66913414425,4310.51232743153,401.91435654895,79.0722901319517,0.494250676745762,258,313.37089843223,0.913140969409743,174.276040938405,1.3776366827459,230.117731185407,3.5070750620069,125.172987760749,2.8844602068611,5,"",10.6661539706954,7.67896278334567
"1_243",8.19345977934007,0.717816832993696,52.4325483531602,0.858081277032252,-44.96,11944.230543546,597.649384496288,6478.26260301091,8252.9361422608,4392.80493833834,367.469553342735,79.2851015618677,0.449342051749813,259,312.879815084567,0.91293209661339,173.509368233194,1.34146810012268,228.201023036875,3.18299843284058,126.113275930663,2.28488915311426,5,"",13.1760135955329,8.96409255702346
"1_245",11.3173723206753,1.35576826775115,37.825600459054,2.16153237824978,-43.27,10688.0329935752,2085.2940270217,2560.6559103425,6174.97963075853,2551.29351731524,894.478216166031,83.5648003934749,1.05396078358434,261,224.230001776102,5.47346075767759,141.9880578885,5.00433423788678,150.366655736809,6.0081142085172,126.816914137587,1.95749949936399,5,"",55.0969751618985,28.553428233557
"1_244",10.7276112968372,1.10734484292376,37.3793032954452,2.18709915918797,-43.28,10967.9002378491,1230.49188602905,1766.02400777717,5536.45014569936,2832.17533944653,753.763631073397,83.7471583939815,1.08118813550305,260,226.112025376836,6.10788196915063,143.419884768447,5.40423381986494,152.222353967345,6.47107034596771,126.813227343202,1.90387616525227,5,"",61.1227001390138,23.9939298822817
"1_240",9.07198132223961,0.673914566985474,34.2462159846599,0.483988580952334,-44.19,11757.3714174253,722.326529803113,7835.75847754093,8444.88327523324,5676.99128540183,2602.39003110043,86.4562033372771,0.516882059101001,256,323.905552609033,1.95436577874846,202.942664425249,2.20414133549292,231.310955625366,2.75530624342325,111.621465662051,0.825021666310616,5,"",28.0782505813716,17.9688324262701
"1_32",9.08975482491527,0.953415885910359,47.0869832677165,1.00337569354744,-42,9574.91321432832,340.092663185359,17875.40625,1059.72704781654,6996.52016897527,692.773421503067,77.0356381233595,0.402411724723451,31,409.927736083771,4.83004393170131,252.327352324922,4.17739715371651,274.374535214348,4.50266513566069,94.4058121749422,0.746497516487022,5,"",7.36811023622047,5.5954784170627
"1_35",24.7542349515403,5.18255515478313,186.82044198895,2.88444500413892,-39.751,11659.6119732011,1378.14453583929,18230.0083707283,5577.73897283198,3579.88899312424,212.238076798974,38.9845303867403,0.469096695020228,34,327.386841968169,12.6710237405992,196.901722349698,5.48239425655729,168.28281368029,5.57619449326597,106.672047076267,0.721427157169818,5,"",10.0583572895277,15.455093457922
"1_233",13.073571996575,1.76275353376396,146.693350383632,3.80954693092692,-37.566,11610.317542432,578.413123978006,11059.005029838,6652.03751306774,4692.54521155524,545.295604712161,54.1175618073316,0.746726481760468,246,368.821263142938,18.9896354783877,384.384838797179,13.131853976724,267.017526285877,8.13665736852043,104.980555612575,4.33558727386281,5,"",26.1604859335038,16.9252640337626
