"","CNTRY_NAME","zone","weightedMeanCountryInvert","weightedSDCountryInvert"
"133","Mexico",207,31.8380999166756,0.0763702299661492
"134","Montserrat",208,22.893964454776,0.00196364899391168
"135","Navassa Island (US)",209,NA,NA
"136","Nicaragua",210,27.3595112724918,0.11031411918264
"137","Panama",212,15.1422546835097,0.0774882181247985
"138","Puerto Rico",213,25.7301048171252,0.107129608939588
"139","Saba (Neth)",214,NA,NA
"140","Saint Barthelemy (France)",215,NA,NA
"141","St. Kitts & Nevis",216,7.63784814637805,0.0292348540442702
"142","St. Lucia",217,10.9212314166755,0.0921056811794177
"143","Saint Martin (France)",218,NA,NA
"144","St. Vincent & the Grenadines",220,18.8925840977541,0.055792924693631
"145","Sint Eustatius (Neth)",221,21.7100642621517,0.00452116318432578
"146","Sint Maarten (Neth)",222,NA,NA
"147","The Bahamas",223,32.4148039041775,0.0422579132449371
"148","Turks & Caicos Is.",224,30.0771296024323,0.0235723784625783
"149","United States",225,26.6526460494672,0.0548528720771128
"150","British Virgin Is.",226,14.5566412721361,0.00176066366993182
"151","Virgin Is.",227,20.2494679035679,0.0313204318546273
"152","Ashmore & Cartier Islands (Australia)",228,NA,NA
"153","Coral Sea Islands (Australia)",229,NA,NA
"154","In dispute Spratly Islands Brunei/China/Malaysia/Phillippines/Vietnam",231,NA,NA
"155","Australia",234,34.649754022564,0.0887940221471404
"156","Brunei",235,5.89372130173665,0.0743244120505184
"157","Cocos Is.",236,NA,NA
"158","Christmas I.",238,NA,NA
"159","Fiji",239,13.2523804864589,0.0999411676437505
"160","Micronesia",240,18.5952050637226,0.0296339113507464
"161","Guam",241,NA,NA
"162","Indonesia",242,11.49875496137,0.0877350228436123
"163","Kiribati",243,NA,NA
"164","Marshall Is.",244,NA,NA
"165","Northern Mariana Is.",245,NA,NA
"166","Malaysia",246,8.59824447202573,0.0974196194651237
"167","New Caledonia",247,23.6380731207209,0.0894004232292553
"168","Norfolk Islands",248,NA,NA
"169","Nauru",249,NA,NA
"170","New Zealand",251,29.739939119284,0.0928201267906931
"171","Papua New Guinea",253,6.48620786454233,0.0753667448847721
"172","Philippines",254,24.0489935749141,0.0844336065365355
"173","Palau",256,8.51209800054157,0.0450194892845639
"174","Solomon Is.",257,3.50877038264427,0.0681673452629034
"175","Singapore",258,35.0923459288779,0.066147356922188
"176","Timor Leste",260,29.4398851476379,0.0829213600156985
"177","Tuvalu",262,NA,NA
"178","Vanuatu",263,6.20808169769015,0.0772633168625835
"179","Aruba",266,NA,NA
"180","Argentina",267,19.23029356477,0.0976427776157593
"181","Bolivia",268,15.6466178271904,0.0756842985979035
"182","Brazil",269,28.4534883930011,0.0951898426374918
"183","Chile",270,44.6180271399704,0.0922225350569352
"184","Ecuador",271,17.6054933449974,0.0799758437460133
"185","French Guiana",272,2.09196854709464,0.0662382819432917
"186","Guyana",274,5.90969567021918,0.0988078754645095
"187","Suriname",275,3.38608695590803,0.0840055213390615
"188","Bonaire (Neth)",276,NA,NA
"189","Paraguay",277,30.7173867621348,0.0698264318677079
"190","Peru",278,15.527717796955,0.0729064372053354
"191","Trinidad & Tobago",280,15.3921926992831,0.0752593329375775
"192","Netherlands Antilles",281,NA,NA
"193","In dispute Brazil/Uruguay",282,NA,NA
"194","Uruguay",283,45.365327835083,0.0337924289495223
"195","Venezuela",284,15.7850354128916,0.0848116645849708
