"id","AnualTemp_mean","AnualTemp_stdDev","BAI1317_mean","BAI1317_stdDev","CEC_mean","CEC_stdDev","Cropland_mean","Cropland_stdDev","DriestQuartes_mean","DriestQuartes_stdDev","ForestUntl10_mean","ForestUntl10_stdDev","GrossDef_mean","GrossDef_stdDev","HFPrint_mean","HFPrint_stdDev","IDH03_mean","IDH03_stdDev","IDH9010_mean","IDH9010_stdDev","Longitude","NBR1317_mean","NBR1317_stdDev","NPP0010_mean","NPP0010_stdDev","NPP03_mean","NPP03_stdDev","OpCostIIS_mean","OpCostIIS_stdDev","OpCostIISmasked_mean","OpCostIISmasked_stdDev","OppCost_mean","OppCost_stdDev","PastAgric_mean","PastAgric_stdDev","PrecSeanslty_mean","PrecSeanslty_stdDev","RuralPop_mean","RuralPop_stdDev","RuralPvty_mean","RuralPvty_stdDev","Site","SustainablePA_mean","SustainablePA_stdDev","T1RoadDensity_mean","T1RoadDensity_stdDev","T2RoadDensity_mean","T2RoadDensity_stdDev","T3RoadDensity_mean","T3RoadDensity_stdDev","T4RoadDensity_mean","T4RoadDensity_stdDev","T5RoadDensity_mean","T5RoadDensity_stdDev","TotalRoadDensity_mean","TotalRoadDensity_stdDev","WDeficit03_mean","WDeficit03_stdDev","WDeficit8910_mean","WDeficit8910_stdDev","WDeficit99_mean","WDeficit99_stdDev","YrlPrec_mean","YrlPrec_stdDev","bldfie_mean","bldfie_stdDev","cdd_mean","cdd_stdDev","cropIIS_mean","cropIIS_stdDev","croppastureIIS_mean","croppastureIIS_stdDev","Buffer_Size","elevation_mean","elevation_stdDev","f2003_mean","f2003_stdDev","fty_mean","fty_stdDev","govrnce_mean","govrnce_stdDev","name","pastoIIS_mean","pastoIIS_stdDev","phihox_mean","phihox_stdDev","phikcl_mean","phikcl_stdDev","population.count_mean","population.count_stdDev","population.density_mean","population.density_stdDev","population_count_mean","population_count_stdDev","sa_mean","sa_stdDev","slope_mean","slope_stdDev","sndppt_mean","sndppt_stdDev","strictlyPA_mean","strictlyPA_stdDev","PercUrbArea","treecover2000_mean","treecover2000_stdDev","urb_mean","urb_stdDev","wfire_mean","wfire_stdDev"
"00008e5ea35e8ca53724",147.958547304444,2.09369924067826,24.4956643387992,10.2370781853355,21.1461951376169,2.85193264576182,0.999717514124294,0.0848166660197074,131.607334462798,2.26556786072921,0.0362994350282486,0.222287850002579,0,0,23.062040960452,4.51907321077121,0.922939479351044,0,0.913162171840668,0,147.3,0.955647811920553,0.00356191579278835,8351.95657977488,290.050285153116,15257.1770083298,701.639658856352,3729.90447775631,287.907542700132,3729.90447775631,287.907542700132,2328.19248545548,768.157569626974,0.14376995119945,0.264610184605245,20.461139347734,0.818712315207524,182.531355932203,46.332823908203,NA,NA,223,0,0,0,0,0,0,127.520903954802,75.0776227873142,177.875035310735,30.7794535965976,0,0,306.242902542373,97.768796160255,671.420458021554,6.46316016080732,631.044033756668,6.27572742991003,453.65208068615,9.11120142219241,702.883065085416,18.6074667186415,1449.03929740345,20.375108983211,0,0,0.00900423728813559,0.0848166660197074,0.610628531073446,0.491045633220215,5,288.517831920904,38.5010140429527,0.0362994350282486,0.222287850002579,0,0,1.784,1.21773223508656e-07,"",0.0254590395480226,0.145830520271725,61.0414936729744,1.78666238209023,57.8445882919818,1.31747866384455,0,0,0,0,0,0,0,0,0.811510864320858,0.778622177720851,60.0028161292696,1.54774680647747,0,0,1.19933305045723,0.0364252435408725,0.222287850002579,0,0,0,0
"0000c494bf17d1c6e9d5",147.958547304444,2.09369924067826,24.4956643387992,10.2370781853355,21.1461951376169,2.85193264576182,0.999717514124294,0.0848166660197074,131.607334462798,2.26556786072921,0.0362994350282486,0.222287850002579,0,0,23.062040960452,4.51907321077121,0.922939479351044,0,0.913162171840668,0,147.3,0.955647811920553,0.00356191579278835,8351.95657977488,290.050285153116,15257.1770083298,701.639658856352,3729.90447775631,287.907542700132,3729.90447775631,287.907542700132,2328.19248545548,768.157569626974,0.14376995119945,0.264610184605245,20.461139347734,0.818712315207524,182.531355932203,46.332823908203,NA,NA,72,0,0,0,0,0,0,127.520903954802,75.0776227873142,177.875035310735,30.7794535965976,0,0,306.242902542373,97.768796160255,671.420458021554,6.46316016080732,631.044033756668,6.27572742991003,453.65208068615,9.11120142219241,702.883065085416,18.6074667186415,1449.03929740345,20.375108983211,0,0,0.00900423728813559,0.0848166660197074,0.610628531073446,0.491045633220215,5,288.517831920904,38.5010140429527,0.0362994350282486,0.222287850002579,0,0,1.784,1.21773223508656e-07,"",0.0254590395480226,0.145830520271725,61.0414936729744,1.78666238209023,57.8445882919818,1.31747866384455,0,0,0,0,0,0,0,0,0.811510864320858,0.778622177720851,60.0028161292696,1.54774680647747,0,0,1.19933305045723,0.0364252435408725,0.222287850002579,0,0,0,0
"0000709c6404f2df6039",146.276544486346,3.98191551538346,130.473571752603,252.545570603591,21.7029874497372,1.26027241028404,0.0391840497867927,0.180232021760733,177.36953620287,5.89833345222864,62.348015128815,28.3270643324801,0,0,32.8942711390005,11.2415697721294,0.922939479351044,0,0.913162171840668,0,149.873,0.981271498349718,0.00699588422438798,12588.0812569476,750.045433620487,637.688253589536,4386.1816253963,5340.19813358549,1925.63574185364,5409.0800329565,2097.88396410808,2829.63260278016,2041.36977077101,0,0,15.53995662329,0.581538495109729,55.6737174543718,7.25896382168828,NA,NA,7,0,0,0,0,162.672289573952,77.8126036837685,0,0,124.771423623138,45.2991080389999,0,0,287.44371319709,113.371320957651,340.228621820407,8.78403429590528,296.805860879396,7.50078363577441,284.070929601534,9.51078692964516,921.464464464464,23.5495562776742,1195.36924607032,45.1790069329935,0,0,0.0480183256256213,0.245144756254814,0,0,5,102.947869760998,77.4267753874098,62.2687564826553,28.4673536999649,0.0460339452719085,0.236932953229665,1.784,1.18316323497732e-07,"",0.0721355404762934,0.245144756254814,56.2884718834827,2.95133588624809,47.1032801893784,3.14240556173308,0,0,0,0,-0.146404343044215,5.97188430053722,0,0,2.43737506842816,1.36229503640129,64.8103491370912,2.92022691095965,716.966270984595,4698.09422114788,6.19975477308107,57.390453427552,32.7798879110213,0,0,0,0
"0000a6337621814363dc",178.590742649887,1.61773144292397,88.4056243986727,117.926171513392,22.9898666865011,3.84537687185976,0,0,236.274121740432,5.67288620668022,47.7395479219213,33.8829740545904,0,0,30.1667162403331,4.03612479871954,0.922939479351044,0,0.913162171840668,0,152.47,0.982047556689697,0.00512254978744631,12257.2825435664,788.127873522789,499.993112217866,4282.55624907939,4034.31320877593,1147.99315812513,3118.88626430866,1981.96660973309,3309.72658596692,1114.67548857489,0,0,28.7944180478132,1.08973421332654,233,0,NA,NA,12,208330575.375,259698654.23738,0,0,0,0,240.706188399956,66.2944889558592,214.726230168908,105.868537877382,0,0,455.432418568864,136.327985881988,332.651749178545,10.2034054857635,251.898849242175,5.44306713189343,81.0709107454773,3.40394811593993,1376.57723820569,12.3152135761115,1165.11749627558,43.7658066637782,0,0,0.0586828550404709,0.229061423645426,0,0,5,35.4084197413256,27.2805545481999,47.6687650784077,33.9614000145302,0.760524676657018,0.41976702158305,1.784,1.03385231588362e-07,"",0.0469094922737307,0.17950549357115,57.7958136394332,0.862656359790637,45.9649382107558,1.26223312305137,0,0,0,0,0.250302832075898,1.23872473255302,0,0,1.26558907761011,0.939141356667547,64.2498677764989,3.31300936127814,5340151.74834137,49687688.9273366,5.32168706114394,47.5511011762981,33.9449807593111,0,0,0.239475323342982,0.41976702158305
"0000e0c55980bb06ae7e",190.924566885848,4.90120502803152,16.6134863205615,7.77939679636116,14.2532936858969,1.64764461482239,0,0,137.584452678709,10.0687209102782,37.7023092369478,30.6933425778488,0,0,10.4314179796107,1.59519118895138,0.925773441791534,0,0.915966093540192,0,152.651,0.974615545774301,0.00388056469528387,11964.98479936,964.689493145383,3213.81496062992,6896.37730864531,4714.9737044546,1265.37169678827,4544.91711502146,1652.67620225755,3981.16011996118,990.13012973674,0.0240444845997849,0.0336500982910441,42.4515979620195,0.512529974668319,170.734090206982,61.1870219039748,NA,NA,17,21885145.9962929,99338939.4218073,0,0,0,0,4.22150139017609,8.32703584648595,0,0,0,0,4.22150139017609,8.32703584648595,505.345446708867,61.1094311526104,434.773622778269,51.2759734522938,107.375556456178,27.0320401442962,1106.32561371005,80.5324886576217,1291.86623947997,35.3211093299475,0,0,0.106773246833488,0.287479787288034,0,0,5,192.531047265987,82.1790788291013,37.7023092369478,30.6933425778488,0,0,1.784,1.08372081409801e-07,"",0,0,58.6852054918552,2.88016039074223,48.6943574459935,2.52243120348068,0,0,0,0,0,0,0,0,3.21926807313191,2.29041936703453,54.5289209007591,1.67280938028202,0,0,0,37.6215454685811,30.6933425778488,0,0,0,0
"0000739ae073f2d76d93",189.432971721616,5.19213078731558,19.0228866698754,6.7435466397509,13.0831422533689,1.32286889335925,0.0198181394264397,0.130169559228806,139.677991137371,10.2491828136771,48.1670552576358,23.9226731890255,0,0,14.815730162431,2.55236478444317,0.925773441791534,0,0.915966093540192,0,152.5,0.977095269033772,0.0028429516759045,11901.610092588,882.880215307368,381.425192862152,1589.46967881813,7528.68017931952,494.188894586673,726.713358414148,2564.02821001362,5444.63997465876,4622.12898266828,0.00325476022161734,0.00545528240308071,50.4396719272331,2.14217441689615,47.5421621201523,22.2878890880227,NA,NA,219,0,0,0,0,0,0,0,0,66.742014455584,66.6352009076284,0,0,66.742014455584,66.6352009076284,497.449541967919,13.2131119069834,395.87124495558,10.6216799508968,145.868978206225,8.6755419719998,1145.07327217601,40.955186199608,1295.33731250106,23.277035787547,0,0,0.0297272091396596,0.158723729651051,0,0,5,294.844291598663,87.9108496102241,48.1670552576358,23.9226731890255,0.114556617704205,0.362068965517241,1.784,1.0144268791637e-07,"",0,0,56.4462378730101,1.7339998104104,46.817533562861,1.47645389871504,0,0,0,0,0,0,0,0,4.01872286551541,2.19953894620292,56.5782720517323,1.77308984808919,0,0,0,48.1069346186737,24.1819743361104,0,0,0,0
"0000bb88e7649e7e44a5",197.290044845699,0.316225169126932,31.1611719578216,11.328896385486,18.9569242947642,1.57488912452217,0.681113121126977,0.479510746027193,95.7096687211094,0.454529671443866,0.701050767868827,0.911005244526921,0,0,6.00277125591778,0.545435605731784,0.925773441791534,0,0.915966093540192,0,149.9,0.950951306694782,0.00471643348261397,4468.18401386749,514.66546105139,10227.0557395994,1909.54965631443,2002.57842842091,35.8044462056359,2002.57842842091,35.8044462056359,546.625996268438,35.3018844120588,0.998578345875171,0.0059985158299374,32.183782742681,0.411973569810295,22.7009737885378,28.7502608683817,NA,NA,16,0,0,0,0,0,0,0,0,14.4114545244602,49.973148345442,0,0,14.4114545244602,49.973148345442,927.221131869542,5.93578349954898,905.802275061866,4.20208256937528,753.346459296354,3.96622604923842,566.243412942989,1.65319555878066,1409.399771929,8.29003583343535,0,0,0,0,0.447057465070628,0.499722145018832,5,270.607443901312,6.72503097886297,0.701050767868827,0.911005244526921,0,0,1.784,1.04379062148441e-07,"",0,0,70.0167513195772,0.877348375129,61.2034851680024,0.882519305580951,0,0,0,0,0,0,0,0,0.224286806049409,0.101504884505771,44.8212703789846,2.37619107489938,0,0,0,0.701771956856703,0.911005244526921,0,0,0,0
"00000ef2d7d3b467b8ed",191.977842740073,0.810084336552651,50.2703943186024,17.7275380651435,18.204624816639,1.48249381595619,0.0691646001239926,0.235294117647059,97.2164676694061,1.90161215931731,23.1071549343403,14.1985786634612,0,0,11.8135074395536,3.45759261402441,0.925773441791534,0,0.915966093540192,0,150.716,0.960768601432435,0.00538410582769811,7992.8166523351,1060.08792640867,15251.7424019228,2032.44766901715,4481.51935555723,389.077884393366,996.568489675409,1955.0185497064,529.433630608647,7.00877957412739,0.333831029556119,0.123125409352586,42.5108543960304,0.731623491081571,71.3023481091135,32.5073126004279,NA,NA,19,0,0,0,0,0,0,100.471946683199,54.2945032820674,42.7103223806572,52.8914091811889,0,0,143.182269063856,49.6948558914206,819.867676513154,6.87535092461414,824.618365485371,7.66472914412067,718.995351346461,9.38982474278177,652.497053806791,2.01820679695043,1412.24673279811,18.8838266476803,0.814824860508369,0.413219860609891,0.130114693118413,0.322189739708921,0,0,5,343.937809981401,13.744035947113,23.0604463732176,14.2545086756262,0,0,1.784,1.04816712127239e-07,"",0.00275108493490391,0.0912838696739514,63.6353290698873,1.7867922441397,53.7545752059726,1.96565011064214,0,0,0,0,-0.0206499654056027,0.00639250600503079,0,0,0.474516634685573,0.273475749852388,63.8795787899374,1.87104209308077,0,0,0.177480189345389,23.5760583036129,14.0862646394826,0,0,0,0
"000096a06a83b228b105",205.397934796001,2.74627108147353,75.7399336913985,109.615261094666,17.693551934328,2.08519665410111,0.883851570535644,0.324561325573462,82.8250335941823,2.61764608110354,1.77308331355329,4.53026929750929,0,0,23.548777593164,16.1989917697384,0.925773441791534,0,0.915966093540192,0,150.626,0.967281025140118,0.00599591988707783,8818.6439304867,2096.04706331814,17995.2409081695,4339.90284889174,4274.99010959314,2134.76542018173,4274.99010959314,2134.76542018173,1440.09590276535,616.270938367262,0.851829409918809,0.119631029622872,51.6655995573472,0.874388633563056,77.1886225176043,47.8273247365247,NA,NA,209,0,0,0,0,4.45644433895087,33.0858664117024,0,0,171.711330010286,68.9709941034157,0,0,176.167774349237,88.4157964234854,816.699714120096,28.9427231294376,832.69918984725,25.4980552021641,762.244987221036,28.3152908868672,700.395304718994,11.9690044581256,1386.6575702408,29.7882861925694,0.520017406440383,0.499981736827681,0.0234914785812989,0.133608531424537,0.0117457392906495,0.0949118773537323,5,244.945802674262,47.6404935584049,1.77308331355329,4.53026929750929,0,0,1.784,1.03385231588362e-07,"",0.0434822662367573,0.187193275290673,69.1562379933165,1.49954766001612,56.7486215210082,1.57758325776192,0,0,0,0,0.145160324525472,1.05394310567782,0,0,1.79691503459897,1.19633924090847,45.7430544099492,4.75558792161497,0,0,0.89409456024053,1.77187574104814,4.53026929750929,0,0,0,0
"00002fa566a16ab93e75",212.275654844272,1.10849319566147,21.2389712069962,12.6015786301578,14.6189699115264,2.0538067343382,0.36204797989713,0.481263419135616,118.542693229596,1.66462931286217,7.79284620519062,10.0608176461597,0,0,26.3131257607287,8.13269722467481,0.925773441791534,0,0.915966093540192,0,152,0.972785057169932,0.00340945161152119,11783.835021201,472.020147930222,10058.5134582891,8306.67937709472,16536.2976870702,1737.57092290116,16536.2976870702,1737.57092290116,18169.9156139907,1802.53662400317,0.0289996465621057,0.00661655438630759,51.7789697041141,0.621280685353703,300.443401782559,163.823881057056,NA,NA,25,0,0,0,0,73.5628803643645,72.686804282521,12.3113981703247,38.9377776902647,115.392398602222,30.8933084926764,0,0,201.716675173741,70.6578442478181,563.673759283272,6.72208578642042,543.595996806447,7.16324637066531,380.026248575583,10.3580702724536,1015.34123148257,23.2853670493198,1367.15519722084,11.919060637912,0,0,0.0805292708783227,0.27850299534161,0,0,5,65.3675055950371,22.4608440292729,7.79284620519062,10.0608176461597,0.926852251757038,0.27850299534161,1.784,1.05259913732489e-07,"",0.038478149907731,0.201438378372961,62.6301155971027,1.91173278140627,50.646911106007,1.11004002454731,0,0,0,0,0.258429699699342,1.61407313774303,0,0,0.691415503256602,0.441739902203532,53.6541154578295,5.00091049998222,0,0,1.00044033372254,7.80792958465951,10.0333319217856,0,0,0,0
