value,count,class,zone,group
0.1125,30,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1126,656,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1158,12167,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1249,2078,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1274,687,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.143,4885,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1446,9,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.145,304944,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1455,316,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1537,321,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1647,24715,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1668,1620,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1686,2867,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1782,2750,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2303,3856,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2308,15395,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2323,6569,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2335,6307,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2359,24070,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2388,38,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2396,736,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2402,299960,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2516,27906,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2519,46412,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2526,16,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.256,321,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2584,7408,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.259,59858,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2601,3009,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2608,17146,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2609,11,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2615,16037,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.262,322,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2621,6920,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2628,5644,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2634,2925,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2646,2080,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2831,15053,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3246,5049,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3264,36517,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3301,74022,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3416,18352,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3439,1922,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.3651,8196,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
