fa,fr,ia,ir,va,vr
1,-0.32105749090897845,-0.07178352841688375,-0.12495679656895314,0.5154719881135275,-0.003404119946093308
-0.32105749090897845,1,0.12890261036876854,0.0827301993363308,-0.2595027173546874,-0.0919036502670098
-0.07178352841688375,0.12890261036876854,1,0.01095260418030636,0.0392448903477836,0.026979688764822082
-0.12495679656895314,0.0827301993363308,0.01095260418030636,1,-0.09901549949210074,0.23683892710300003
0.5154719881135275,-0.2595027173546874,0.0392448903477836,-0.09901549949210074,1,-0.009586849235417836
-0.003404119946093308,-0.0919036502670098,0.026979688764822082,0.23683892710300003,-0.009586849235417836,1
