"id","AnualTemp_mean","AnualTemp_stdDev","BAI1317_mean","BAI1317_stdDev","CEC_mean","CEC_stdDev","Cropland_mean","Cropland_stdDev","DriestQuartes_mean","DriestQuartes_stdDev","ForestUntl10_mean","ForestUntl10_stdDev","GrossDef_mean","GrossDef_stdDev","HFPrint_mean","HFPrint_stdDev","IDH03_mean","IDH03_stdDev","IDH9010_mean","IDH9010_stdDev","Longitude","NBR1317_mean","NBR1317_stdDev","NPP0010_mean","NPP0010_stdDev","NPP03_mean","NPP03_stdDev","OpCostIIS_mean","OpCostIIS_stdDev","OpCostIISmasked_mean","OpCostIISmasked_stdDev","OppCost_mean","OppCost_stdDev","PastAgric_mean","PastAgric_stdDev","PrecSeanslty_mean","PrecSeanslty_stdDev","RuralPop_mean","RuralPop_stdDev","RuralPvty_mean","RuralPvty_stdDev","Site","SustainablePA_mean","SustainablePA_stdDev","T1RoadDensity_mean","T1RoadDensity_stdDev","T2RoadDensity_mean","T2RoadDensity_stdDev","T3RoadDensity_mean","T3RoadDensity_stdDev","T4RoadDensity_mean","T4RoadDensity_stdDev","T5RoadDensity_mean","T5RoadDensity_stdDev","TotalRoadDensity_mean","TotalRoadDensity_stdDev","WDeficit03_mean","WDeficit03_stdDev","WDeficit8910_mean","WDeficit8910_stdDev","WDeficit99_mean","WDeficit99_stdDev","YrlPrec_mean","YrlPrec_stdDev","bldfie_mean","bldfie_stdDev","cdd_mean","cdd_stdDev","cropIIS_mean","cropIIS_stdDev","croppastureIIS_mean","croppastureIIS_stdDev","deltaGHSL9015_mean","deltaGHSL9015_stdDev","deltaGPWCount0010_mean","deltaGPWCount0010_stdDev","deltaGPWDensity0010_mean","deltaGPWDensity0010_stdDev","Buffer_Size","elevation_mean","elevation_stdDev","f2003_mean","f2003_stdDev","fty_mean","fty_stdDev","govrnce_mean","govrnce_stdDev","name","pastoIIS_mean","pastoIIS_stdDev","phihox_mean","phihox_stdDev","phikcl_mean","phikcl_stdDev","sa_mean","sa_stdDev","slope_mean","slope_stdDev","sndppt_mean","sndppt_stdDev","strictlyPA_mean","strictlyPA_stdDev","PercUrbArea","treecover2000_mean","treecover2000_stdDev","urb_mean","urb_stdDev","wfire_mean","wfire_stdDev"
"00005e1638ae240816d2",261.77526941698,3.92542663704067,17.9125345832829,4.14130266914104,11.1136240786065,2.40838200127303,0.690969339782924,0.461854419421368,95.1553273184501,14.0102726309076,60.040262029422,11.4542954133328,0.000767774297583296,0.0274086436334241,32.996180054041,6.42579030637583,0.332282828360472,0.000887806242882065,0.31661859706161,0.0131520454250927,-11.348,0.981714505451136,0.00218811104941486,10035.8049567764,1018.09995120782,19724.1214775714,2118.58669971635,327.01253884578,28.6010965211463,326.06803056184,34.8615664486127,2707.76241956365,1045.35562419092,0,0,73.0707267845267,4.56785603585598,4465.74475612305,2251.47233170823,22.5654119872994,16.4090550105703,122,0,0,0,0,0.0557829964445813,2.13109002442599,116.526814033452,95.8013759394651,326.909594038802,154.0586044739,0,0,443.493695218121,181.852413118334,81.2003212201143,12.4807348368532,107.887040988238,11.2918856205401,118.431377592939,15.7406437791135,2934.73333554152,269.754075186217,1330.39093666962,24.4862413044027,0.0157860417342322,0.126721264184303,0.481418601240543,0.499589624389614,0.197845872477721,0.398428140973955,2.93035529571855,19.679065635767,15.8980591018708,50.5703784433706,18.7076428449851,59.3223656354633,50,118.648127533978,63.2754709310621,59.949598305649,11.91027797213,0,0,-1.28334794498871,0.0701539483231937,"",0.00240603190213687,0.0485615545090387,51.0632762110227,1.00550679401774,43.0259333807758,0.967585831293963,0.980079160325897,0.143910107816324,0.723872795873816,1.05717148724769,60.0275843963545,2.45290953801614,0,0,0.00121265598750225,60.9049240367913,9.16361049326771,0,0,0,0
"000075cc4010d0805bf0",238.479264367338,6.45447894058532,21.2430065017583,6.36266392284498,18.4076859539613,3.61992742033847,0.167795525784705,0.374634773122533,122.225666614421,17.013717178932,59.7463297928401,15.2825227276092,0.000547468762076516,0.0231620493938716,32.2017617759457,5.09193814002069,0.327071875999791,0.00405914718354681,0.330470733535981,0.013516828866328,-9.333,0.981949250654671,0.00363311222812755,12108.4243548906,1028.59310525644,10916.4619526755,9513.90351377932,382.524808314782,44.6484158420242,380.778324443936,52.4480250839655,2280.48999413237,1542.93915294201,0.0136507848498767,0.0503513969597077,62.8256653261734,2.09876347894571,2243.78348877152,1113.59585879347,8.83534891022632,7.78717632806909,124,0,0,0,0,0,0,46.6046137661556,65.5871250405482,302.866755979217,154.361652030643,0,0,349.540542745501,159.490894768286,178.74650294472,48.9595021880985,168.47278639873,36.0523724793074,165.741188064814,36.4456002106364,2446.61820637296,213.616746492017,1267.82940307245,29.8817611017645,0,0,0.310362832238395,0.463471680175679,0.269426338614796,0.443006404464276,0.950065210256489,16.8679425423694,1.77236927332897,6.90617815055325,2.08296344483946,8.11258934603376,50,582.491998368327,135.743549855125,59.7164678603632,15.3812078447068,0,0,-1.09646456782176,0.174255582371617,"",0.00410751857099918,0.0637400966074185,53.677983963425,1.11250967938909,46.7287823146937,0.637703156879504,0.987260079866031,0.112767416425195,1.76755006612053,2.28982786289419,46.4917544055898,3.62088475009813,0,0,0,59.9480041825102,14.9964225196616,0,0,0,0
"00008ce16bf3c3dc2f3f",258.944128462153,1.53792913050707,18.8286825488881,6.16705274551542,7.80861253661436,1.07632425559374,0.223448218111877,0.416768332069992,143.072924229801,33.6070786125233,68.5359859373897,11.466235323937,0.00122585201031097,0.0388262816025196,20.829379528962,7.49127716757936,0.385822846693259,0.0268829734341448,0.392417583642238,0.0188024449323352,-7.333,0.982658447487124,0.00184547072568897,10428.5854014423,1590.26486750972,18840.9186606539,4143.82031419531,558.217820401798,450.189458539463,381.42966447714,454.208205463045,3060.0412295564,1719.00391995804,0.0129740008799047,0.0954147902002515,52.2310479536909,4.20824687692285,825.579428304059,763.61025279285,4.69077547707243,12.2965170235258,221,0,0,0,0,0,0,14.0731389062983,38.1842246114974,31.0919168872337,67.6987653430726,0,0,45.1760625633428,72.9302582420491,183.763688824046,16.2151141563209,123.093274884553,21.8729250418358,64.887151376365,19.0655561232062,1793.99081373213,160.562126016962,1448.91273552787,31.01254722597,0.00698390335451812,0.0913277815611788,0.237465201218297,0.427816319781142,0.0282814770454424,0.167554913211188,0.654023809887374,11.4552396150957,5.87543670440658,3.86102304791958,6.87875581034807,4.52989294770102,50,195.007520429428,31.9044912500415,68.51569349556,11.5945848401738,0,0,-1.09495460031166,0.205015026343129,"",0.00100718249446827,0.0328265891147852,48.9127972927234,1.54559635129896,40.9859028042413,1.29275471427158,0.496167917553682,0.499996833869992,0.391022987300652,0.209600538881813,58.3800916299165,1.91629026350072,0,0,0,68.6333431177452,11.3009310276695,0,0,0,0
"000027b94e66418277ad",264.78704630606,3.13574694632911,73.8468316654484,282.156448870552,8.37637652014622,1.77873863016634,0.447297964677172,0.497207338739774,184.544667641287,10.7972382611057,56.7261285663704,10.0982563375186,0.0110205844871158,0.103854986066981,28.7248100801127,7.16433908725416,0.47237766695992,0.0367539483526058,0.474218639949422,0.036503918954942,-2.6,0.980102132636904,0.00266535412005688,8043.02105004474,1820.4168893336,15143.0584080742,3823.03912760143,843.460193342585,1244.77426433699,771.885637396667,1143.70627615688,4374.74847461883,902.879437792627,0,0,61.5407903067085,9.15864687804302,3426.96891839213,1907.7124252299,12.7300305077239,20.1103277632092,199,0,0,0,0,14.2484616947099,38.2981055522779,28.2905987395877,61.3950489018293,85.1005790751956,295.002335367545,0,0,127.654217075276,298.278108261805,136.955479071612,15.0884378124779,123.327881342671,14.0382724923325,99.1181807658611,18.0468530488586,1875.86651925866,130.226531958326,1396.29022683039,43.4850532255059,0.0464609989988484,0.21202012826613,0.659753959586294,0.47385065681204,0.019324137736379,0.141202867672603,1.21279833881256,10.6936893899561,8.56893659804648,8.80157380279924,10.212633362256,10.4705761009664,50,78.1145361470504,41.849477299135,56.563048696876,10.8675960981226,0.00612490390431098,0.0813314086757844,-0.201806179572681,0.343542034972197,"",0.00414452859856753,0.0638473196103739,48.9896650463835,1.58454004405865,44.0614034242975,2.27377189605583,0.934781482794199,0.248723511737703,0.643251624981911,0.53261156365291,60.0415113546365,2.44862930279079,0,0,0.00609663126323867,54.481636768714,15.2690436534587,0,0,0,0
"0000e2ed3b24323e472b",260.824987420136,2.69222874009396,140.43014314773,340.487029125394,8.35145573755286,1.45839946686986,0.524067782910806,0.499435370424016,136.887540652572,22.7170612961928,51.6977446492221,14.4032430070865,0.00219462524181919,0.0464187245624425,30.5883381459153,8.89697640134712,0.49099999666214,1.86520404877158e-07,0.492714285850525,2.07143437947877e-07,-1.369,0.978703977794967,0.00296889233342832,7289.10266842624,2196.92606234976,13559.7252907044,4705.7110458379,463.582369971192,789.06325238714,447.20167338232,667.721428376138,4423.20017069536,672.872248150267,0,0,57.688742598822,9.95497473162427,5401.70187581668,3369.41002323659,38.9772865963452,46.9031657107403,112,0.0185496235264996,0.133832618026191,0,0,26.7204455142901,80.7457550213028,41.3675091701055,53.4736800589516,59.3915534731774,93.643953204621,0,0,127.456047015895,130.350089043692,215.529241225395,56.3884557398843,211.936686557383,58.6276931317397,103.144002308851,47.7214908845019,1429.9123172854,133.698943193794,1416.76511688861,32.3145480738303,0.0520736248732791,0.223377940817053,0.769283824906068,0.422180873128643,0.00779204215885582,0.0892756025925995,5.23563415825779,24.7597123486346,35.0734629021372,58.8647311184548,42.0321826603035,71.1188135772632,50,81.795588371251,52.7511619405144,51.5529934758064,14.8286232617289,0,0,-0.051,2.51449812523486e-08,"",0.017620095857321,0.131958601250364,54.118642276454,2.86624705731879,48.9540448078171,2.35048909264949,0.882989551653095,0.321732926493475,0.429234146843806,0.329661624006592,58.8613575923244,2.87599451358821,0,0,0.190186177799808,44.8775422736569,22.4480428176297,0.0176387390038916,0.133204538811181,0,0
"000070225d2fdadd4f18",274.281869006893,3.46839727527371,21.9509545965173,20.970414399591,13.8364376745022,6.38183582496312,0.546116837894863,0.49782621873416,47.1343094322198,5.59381921435074,18.0938821500733,4.53200886423175,0.00142775864289279,0.0373958313729853,27.9679850427746,6.87836458789498,0.423000007867813,0,0.400761902332306,1.41634112879888e-07,2.125,0.97067209671092,0.00512602672319888,5344.10197356936,482.673583942827,10298.3600186834,1442.75105948805,1643.9323770586,1396.66848929356,1644.73117608374,1397.88942342011,3680.18434987064,660.496212096828,0.0177355188235433,0.0153708599225152,62.4777776198467,2.94044155171521,10637.8524279003,5701.8032752874,43.6681909570672,45.7417469412446,119,0,0,0,0,32.9266304336121,50.9972740018691,90.6160655795599,88.4275094101891,137.522833155527,116.50437854217,0.231150463364746,1.84778816317919,261.312988813521,176.282688649134,376.199298413673,18.4762514508138,414.21872082154,16.2713632160842,333.928590805869,22.6308937650357,1063.38476825727,39.6338533403908,1416.91560040457,20.1718113474777,0,0,0.83058459219664,0.376059628798386,0.00022063184634679,0.0147027027027027,8.9826916963216,37.9964927037451,54.2248903646181,62.260721242058,63.5607186523401,72.8242450073719,50,81.0976664437093,56.140533271072,18.0820290217771,4.57676759757769,0,0,-0.44,0,"",0.0329957089268942,0.178565831071615,61.4349395900042,2.17711298393404,54.0763153419294,2.07721208391171,0.948913374459099,0.218799202346184,0.610748167513344,0.477448813079591,65.0562737190382,10.9369921305678,0,0,0.00364809670965816,18.1218116450466,4.66148341627105,0,0,0,0
"0000571fb8587307d69c",265.847666497168,1.61329316055534,316.015560083345,11500.5664338666,16.1097775654753,4.73952301514504,0.322691111312957,0.468492628960129,166.743672469323,40.7607778135947,33.034068336578,13.8812778254923,0,0,28.0884427527785,5.97702113414964,0.444999992847443,0,0.442460298538208,0,6.848,0.977633707734453,0.00533501734706609,4534.6463139273,1509.47787589607,8479.58638909388,2878.28768342905,1900.51714647754,1765.80301413508,1124.28174582115,1613.43892786713,4928.67735159376,1684.76040529159,0,0,59.3169090058348,2.32405231802692,9776.0217355004,10233.0329642707,94.5474830671974,201.160403861194,107,0,0,0.293992511424951,2.80833519847755,40.5192725611076,134.499382329558,11.3594476326831,50.0057550273722,83.8930317613853,108.843952589111,39.7146331555359,200.840449584488,175.791584461273,430.878568728057,34.2936145783433,8.62536446685758,88.8841833469373,12.7540372828018,55.5585009786532,15.4058493420041,2850.3900795908,374.539401502689,1160.48333382529,207.963829782452,0.00559890447889558,0.0775827717376343,0.297697810367164,0.454114010855485,0.00257955108645673,0.0514404550497758,19.3105220302285,81.393950364668,134.590767448528,155.087124698259,169.971310526417,195.626477480686,50,13.6917606290333,10.6876379999789,33.0122430889202,13.930569359344,0.0121837049899928,0.111402814887347,-1.016,6.69525539076668e-07,"",0.0169004384838766,0.128382795432995,51.042977796059,1.30023206022269,41.909476212061,1.66732795325397,0.350213800811609,0.478236778115752,0.130782441475363,0.107459442723453,54.183592523334,9.40707671762985,0,0,0.0975841370635362,30.4923645685537,16.0416257289873,0.0972124496506726,0.293933253962005,0,0
"000010c58d45e06e699d",251.390039485117,14.6030876704649,24.7814000678196,3.58120526295436,14.8692947653708,8.27246405884186,0.113106679948061,0.318120553668651,121.165165329921,13.4844566010156,75.8353298489962,7.85778088911535,0,0,26.5682599444151,4.91772813189601,0.454139015902903,0.00284410459027683,0.44895916543017,0.0020224762532988,9.183,0.983533993950577,0.00220067661853148,7466.74711071747,1220.19951989226,12600.2522157124,2421.35817047634,525.916197077586,213.197843660562,278.025991576154,305.571981923578,2934.16096287582,1611.04646279093,0,0,64.4347419633268,2.51448202491265,2927.28744657709,1258.67398392647,6.46253329002938,8.82820415417889,114,0,0,0,0,0,0,18.8365788084585,39.4687337111418,142.942590511175,117.493835545477,0,0,161.777117067772,127.858096063876,72.6240703764918,16.7615014036553,118.797450043631,12.0794453507662,70.4829279824919,16.3126040825039,2771.53705202896,80.4385730527017,1299.89421398376,67.9530499583378,0.000273431999232835,0.0232306962897397,0.0597127315473848,0.236977881636429,0.00220331023601773,0.0464262277210728,0.571097282775595,13.6569708655156,4.45078794066778,4.11710116642385,5.1949456890812,4.80255283845488,50,339.482388905831,224.908908450659,75.8267581504766,7.93469341251367,0,0,-0.844747099590525,0.0186587541817069,"",0.000771158582606205,0.0274854434307573,50.5623579061133,1.21112876836621,43.2034310872825,1.49575312097019,0.617068636183391,0.486051155566875,2.53434697856941,2.73812887591862,52.5251075783198,5.10572730054427,0,0,0,75.9550704890995,7.53593329893093,0,0,0,0
